dragon_type,region,sex,claw_length_cm,claw_thickness_cm,wingspan_m,weight_kg,flying_speed_kmh
Sea Dragon,Coastal Cliffs,Female,25.7,4.8,4.83,313.9,134.6
Sea Dragon,Coastal Cliffs,Female,22.7,4.7,4.47,313.3,129.1
Forest Dragon,Northern Peaks,Female,20.3,4.6,3.99,191.6,161.7
Mountain Dragon,Ancient Forest,Female,24.9,5.4,4.24,231.2,134
Sea Dragon,Coastal Cliffs,Female,24.7,4.6,4.62,272.3,144.5
Sea Dragon,Coastal Cliffs,Male,27.5,5,4.97,318.9,144.8
Sea Dragon,Coastal Cliffs,Female,25.5,3.7,4.59,292.3,126.1
Forest Dragon,Ancient Forest,Male,21.1,5.9,4.04,233.7,160.7
Forest Dragon,Ancient Forest,Male,21.9,6.2,4.15,224.3,166.9
Forest Dragon,Northern Peaks,Female,21.6,5.2,4.3,226.9,154.9
Sea Dragon,Coastal Cliffs,Female,23.1,4.4,4.53,251.5,137.8
Mountain Dragon,Ancient Forest,Male,27.4,6.4,4.38,244.3,140
Sea Dragon,Coastal Cliffs,Female,25.4,4.6,4.62,295.3,127.1
Sea Dragon,Coastal Cliffs,Male,28.4,4.5,4.81,334.8,134.5
Forest Dragon,Northern Peaks,Male,22.5,6.2,4.24,256.3,159.6
Forest Dragon,Northern Peaks,Male,23.9,6.2,4.12,227.7,154.5
Forest Dragon,Coastal Cliffs,Female,20,5.5,4.08,179.4,161.6
Forest Dragon,Ancient Forest,Female,21.8,6.5,4.13,229.7,154
Forest Dragon,Coastal Cliffs,Male,22.8,5.5,4.14,254.5,152.8
Forest Dragon,Ancient Forest,Male,22.1,5.7,4.07,284.8,148
Forest Dragon,Northern Peaks,Female,20.9,5.5,4.02,187.4,148.4
Mountain Dragon,Ancient Forest,Male,29.6,6.4,4.5,251.5,144.8
Mountain Dragon,Ancient Forest,Male,28.1,5.9,4.3,245.6,138.4
Mountain Dragon,Ancient Forest,Female,22.6,5.2,4.19,213.4,152.5
Mountain Dragon,Ancient Forest,Female,23.8,5.2,4.62,213.2,155.1
Mountain Dragon,Ancient Forest,Female,26.4,5.4,4.35,249.3,133
Mountain Dragon,Ancient Forest,Male,26.4,5.6,4.36,231.6,140.5
Sea Dragon,Coastal Cliffs,Male,26,4.8,4.63,338.8,133.3
Sea Dragon,Coastal Cliffs,Male,26.8,5.5,4.75,377.6,136.8
Sea Dragon,Coastal Cliffs,Female,26.6,4.7,4.47,292.9,138.9
Forest Dragon,Ancient Forest,Male,21.1,5.6,4.21,239,165.5
Forest Dragon,Coastal Cliffs,Male,18.8,6.4,4.14,239.3,157.3
Forest Dragon,Coastal Cliffs,Female,20.4,6.5,4.13,242.6,161.9
Forest Dragon,Ancient Forest,Male,24.6,6.1,4.33,281.7,156.4
Mountain Dragon,Ancient Forest,Male,28,6.2,4.31,282.8,141.2
Sea Dragon,Coastal Cliffs,Male,26.9,4.3,4.78,360.3,131.1
Forest Dragon,Coastal Cliffs,Female,22.1,5.4,4,225.2,159
Forest Dragon,Ancient Forest,Male,23.3,5.3,4.05,250.1,152.3
Forest Dragon,Ancient Forest,Male,20.8,5.8,4.09,296.6,156.4
Forest Dragon,Coastal Cliffs,Male,22.6,5.8,4.13,240.5,154
Sea Dragon,Coastal Cliffs,Female,24.7,5,4.58,330.9,130.8
Forest Dragon,Northern Peaks,Female,18.8,5.9,4.16,230.3,164.7
Forest Dragon,Coastal Cliffs,Female,21.8,5.4,4.12,204.8,169.7
Forest Dragon,Coastal Cliffs,Male,23.1,6.7,4.49,299.6,158.3
Forest Dragon,Ancient Forest,Male,20.8,6,4.04,254.2,153.5
Forest Dragon,Northern Peaks,NA,24.2,6.5,4.19,269.4,158.1
Sea Dragon,Coastal Cliffs,Male,25.8,4.5,4.85,339.5,131.8
Forest Dragon,Northern Peaks,Female,23.9,5.2,3.93,203.8,155.7
Sea Dragon,Coastal Cliffs,Male,27.7,5.3,4.81,368.1,133.2
Sea Dragon,Coastal Cliffs,Female,27.2,5.1,4.8,308,138.9
Forest Dragon,Ancient Forest,Male,21.7,6.5,4.22,263.5,158.7
Sea Dragon,Coastal Cliffs,Male,25,4.8,4.97,315.1,137.4
Forest Dragon,Northern Peaks,Female,18.7,5,4.11,193.3,161.9
Mountain Dragon,Ancient Forest,Male,27.1,6,4.38,227.1,142.3
Sea Dragon,Coastal Cliffs,Female,25.5,4.5,4.49,310.6,128.8
Forest Dragon,Northern Peaks,Female,22.3,5.8,4.2,204.3,162.4
Mountain Dragon,Ancient Forest,Female,25.5,5.5,4.21,210.3,136.5
Sea Dragon,Coastal Cliffs,Male,26.8,4.6,4.71,358.4,135.7
Forest Dragon,Ancient Forest,Female,22,5.1,4.06,214.4,150.5
Mountain Dragon,Ancient Forest,Male,28.1,5.9,4.28,221.1,140.2
Forest Dragon,Ancient Forest,NA,20,6.3,3.91,187.5,157
Mountain Dragon,Ancient Forest,Male,30.8,6.6,4.62,256.6,148.1
Sea Dragon,Coastal Cliffs,Female,24.7,4.5,4.48,304.8,131.6
Sea Dragon,Coastal Cliffs,Female,25.7,4.4,4.6,286,132.8
Sea Dragon,Coastal Cliffs,Female,26.4,4.8,4.72,303.7,134.9
Sea Dragon,Coastal Cliffs,Male,23.1,4.4,4.59,337.3,127.5
Mountain Dragon,Ancient Forest,Male,27.9,6.1,4.77,267.8,146.2
Mountain Dragon,Ancient Forest,Male,28.2,5.7,4.01,205,146.3
Forest Dragon,Northern Peaks,Male,22.7,5.5,4.37,252.4,166.1
Forest Dragon,Ancient Forest,Female,19.5,6.2,4.17,193.1,154.3
Sea Dragon,Coastal Cliffs,Female,25.9,5.1,4.64,314.8,140.1
Sea Dragon,Coastal Cliffs,Male,30.3,5.3,4.89,350.4,142.4
Sea Dragon,Coastal Cliffs,Male,29.9,4.5,4.75,352.1,139.4
Forest Dragon,Ancient Forest,Male,21.7,5.3,4.45,270.4,161.9
Sea Dragon,Coastal Cliffs,Female,25.2,4.2,4.66,304.4,137.9
Mountain Dragon,Ancient Forest,Male,27.9,5.9,4.59,305.6,144.5
Sea Dragon,Coastal Cliffs,Female,22.8,4.6,4.57,299.5,127
Sea Dragon,Coastal Cliffs,NA,25.5,4.6,4.78,298.1,134.9
Forest Dragon,Northern Peaks,Male,21.7,6.8,4.11,233.2,150.9
Forest Dragon,Northern Peaks,Male,22.2,6.3,4.44,254.3,166.9
Sea Dragon,Coastal Cliffs,Male,25.2,4.8,4.87,321.2,144.8
Sea Dragon,Coastal Cliffs,Female,24.1,4.6,4.45,277.9,131
Sea Dragon,Coastal Cliffs,Male,24.4,4.6,4.9,318.7,134.3
Forest Dragon,Ancient Forest,Male,20.5,5.8,4.33,281.4,156.5
Forest Dragon,Coastal Cliffs,Female,20.9,5.1,4.31,241.7,161.4
Forest Dragon,Ancient Forest,Male,23.7,6.2,4.09,260.5,164
Sea Dragon,Coastal Cliffs,Female,22.9,4.6,4.55,284.7,135.5
Sea Dragon,Coastal Cliffs,Male,28.4,5.1,4.81,353.2,143.2
Forest Dragon,Northern Peaks,Male,19.3,6.3,4.17,270.4,158.5
Forest Dragon,Ancient Forest,Male,23,6.3,4.12,245.8,162.8
Forest Dragon,Coastal Cliffs,Female,19.7,5.9,3.89,202.2,154.9
Mountain Dragon,Ancient Forest,Male,27,5.8,4.3,260,141.7
Sea Dragon,Coastal Cliffs,Female,22.3,4.7,4.64,299,141
Mountain Dragon,Ancient Forest,Female,24.8,5.6,4.11,241,140.9
Forest Dragon,Coastal Cliffs,Female,20.7,5.3,4.09,227,157.5
Sea Dragon,Coastal Cliffs,Female,23.8,3.9,4.82,315.8,135.4
Mountain Dragon,Ancient Forest,Female,24.3,5.3,4.35,224,142.6
Forest Dragon,Ancient Forest,Female,19.1,5.3,4.14,236.4,152.5
Sea Dragon,Coastal Cliffs,Male,27.3,4.5,5,364,142.2
Sea Dragon,Coastal Cliffs,Male,27.3,5.1,4.95,367.5,135.1
Mountain Dragon,Ancient Forest,Female,26.5,5.6,4.55,212.2,150.7
Sea Dragon,Coastal Cliffs,Male,27.9,4.8,4.86,378.1,129.9
Sea Dragon,Coastal Cliffs,Male,25.9,4.6,4.79,335.7,138.7
Sea Dragon,Coastal Cliffs,Female,25.1,4.5,4.8,307.3,146.5
Sea Dragon,Coastal Cliffs,Male,25.8,4.5,4.63,372,131.4
Forest Dragon,Northern Peaks,Male,19.7,6.3,4.21,221.7,167.1
Sea Dragon,Coastal Cliffs,Male,27.7,4.9,5.04,376.5,144.1
Forest Dragon,Northern Peaks,Male,22.2,5.7,4.04,236.8,158.3
Forest Dragon,Ancient Forest,Female,18.8,5.4,4.42,199.7,169.1
Forest Dragon,Ancient Forest,Female,19.7,5.6,4.01,221.8,155.3
Sea Dragon,Coastal Cliffs,Female,24.2,4,4.74,317.9,142.7
Mountain Dragon,Ancient Forest,Male,27.9,6.2,4.18,236.2,152.8
Mountain Dragon,Ancient Forest,Male,29,6.4,4.47,283.8,136
Sea Dragon,Coastal Cliffs,Male,25.4,3.9,4.7,344.1,137.4
Forest Dragon,Northern Peaks,Male,25.4,5.7,4.33,264,164.9
Sea Dragon,Coastal Cliffs,Male,25.9,4.7,4.95,385.6,135.4
Mountain Dragon,Ancient Forest,Male,27.6,6.4,4.31,265.2,139.8
Sea Dragon,Coastal Cliffs,Male,27,4.3,4.76,362.4,135.7
Sea Dragon,Coastal Cliffs,Female,25,3.9,4.9,305,127.9
Forest Dragon,Northern Peaks,Male,23.1,6.4,4.32,283.5,164.3
Sea Dragon,Coastal Cliffs,Male,28.1,4.7,4.82,331.5,128.4
Sea Dragon,Coastal Cliffs,Male,26.9,5.2,4.98,352.4,141.2
Forest Dragon,Ancient Forest,Male,22.2,5,4.05,216.5,164
Forest Dragon,Ancient Forest,Male,21.9,6.4,4.16,253.3,154.6
Mountain Dragon,Ancient Forest,Male,28.4,6.1,4.17,239.7,136.8
Sea Dragon,Coastal Cliffs,Female,24.9,5.1,4.79,334.3,147.3
Forest Dragon,Coastal Cliffs,Male,22,5.3,3.83,243.1,153.7
Forest Dragon,Coastal Cliffs,Male,20.6,6.2,4.16,248.9,164.1
Sea Dragon,Coastal Cliffs,Male,26.8,4.9,4.67,315.6,134.8
Mountain Dragon,Ancient Forest,Male,28.7,5.5,4.56,259.8,139.4
Mountain Dragon,Ancient Forest,Female,26.2,5.8,4.22,230.9,135.1
Forest Dragon,Ancient Forest,Male,22.7,6.1,3.91,218.8,154.1
Mountain Dragon,Ancient Forest,Male,26.8,5.4,4.28,278.1,142.4
Mountain Dragon,Ancient Forest,Male,27.8,6.5,4.34,212.1,147.4
Mountain Dragon,Ancient Forest,Male,27.1,6,4.28,240.5,137
Forest Dragon,Northern Peaks,Male,22.3,5.1,4.16,275.5,163.2
Forest Dragon,Ancient Forest,Female,22.6,5.8,3.95,226.3,156.3
Mountain Dragon,Ancient Forest,Male,27.3,6,4.44,246.1,147.5
Sea Dragon,Coastal Cliffs,Female,24.4,4.7,4.67,301.7,142.4
Forest Dragon,Northern Peaks,Female,21.6,6.2,4.26,217.5,166.5
Mountain Dragon,Ancient Forest,Male,26.6,5.8,4.41,257.7,140.7
Mountain Dragon,Ancient Forest,Male,28.2,5.6,4.3,240.2,129.8
Forest Dragon,Northern Peaks,Female,18.3,4.9,4.13,204.9,161.2
Forest Dragon,Coastal Cliffs,Female,21.5,5.5,4.06,225.4,158.3
Forest Dragon,Ancient Forest,Male,22.4,5.9,4.28,248.5,173.3
Sea Dragon,Coastal Cliffs,Female,27.6,4.9,4.67,319.9,142.8
Forest Dragon,Northern Peaks,Male,21.7,6.1,4.14,210.3,156
Mountain Dragon,Ancient Forest,Male,28.8,6.1,4.4,252.6,140.2
Mountain Dragon,Ancient Forest,Male,28.8,5.4,4.46,259.1,142.5
Forest Dragon,Northern Peaks,Female,18.8,5.3,4.25,242.2,164.3
Forest Dragon,Northern Peaks,Female,20.1,5.1,4.3,196,169.6
Sea Dragon,Coastal Cliffs,Male,27.4,4.5,4.9,338,144.1
Sea Dragon,Coastal Cliffs,Male,27.3,5,4.73,344.1,125.6
Forest Dragon,Ancient Forest,Female,20.4,5.2,4.02,192.8,167.2
Forest Dragon,Coastal Cliffs,Male,22.8,6.1,4.11,272.9,159.8
Sea Dragon,Coastal Cliffs,Male,26.6,5.2,4.86,326.7,136.5
Mountain Dragon,Ancient Forest,Female,25.9,5.7,4.05,223.4,139
Mountain Dragon,Ancient Forest,Female,28.5,5.4,4.2,235.5,147.1
Mountain Dragon,Ancient Forest,Male,29.4,6.1,4.48,292.3,134
Forest Dragon,Ancient Forest,Female,21.2,5.3,3.84,208.4,160.2
Sea Dragon,Coastal Cliffs,Male,24.4,5,4.58,325.3,133.5
Mountain Dragon,Ancient Forest,Female,24.7,5.6,4.37,250.9,146.5
Forest Dragon,Northern Peaks,NA,18.6,6.1,4.11,221.5,158.3
Forest Dragon,Northern Peaks,Female,21.3,5.1,4.02,243.9,147.7
Forest Dragon,Ancient Forest,Male,21.4,5.5,4.19,271.6,162.4
Forest Dragon,Ancient Forest,Male,22.7,5.8,4.22,255.9,164.3
Mountain Dragon,Ancient Forest,Female,24.7,4.9,4.17,171.4,142.9
Mountain Dragon,Ancient Forest,Male,29.9,7.5,4.49,275.1,146
Forest Dragon,Coastal Cliffs,Female,21.4,6.4,4.07,249.9,148.6
Forest Dragon,Coastal Cliffs,Female,19.5,5.7,4.09,235.6,157.2
Forest Dragon,Coastal Cliffs,Male,20.8,5.6,3.94,249.6,157.2
Forest Dragon,Coastal Cliffs,Male,22.4,6.2,4.28,256,157.9
Forest Dragon,Coastal Cliffs,Male,20.4,5.7,3.84,228.7,149.4
Sea Dragon,Coastal Cliffs,Male,26.8,4.7,4.71,338.2,135
Sea Dragon,Coastal Cliffs,Female,23.7,4.8,4.84,288.9,140
Forest Dragon,Northern Peaks,Female,21.2,5.2,4.16,212.2,161.5
Mountain Dragon,Ancient Forest,Male,28,6.2,4.32,234.5,130
Sea Dragon,Coastal Cliffs,Male,27.6,5.4,5.19,365.7,142.7
Sea Dragon,Coastal Cliffs,Male,26.5,4.8,4.91,353.5,138.5
Mountain Dragon,Ancient Forest,Female,26,5.1,4.2,229.6,147
Forest Dragon,Ancient Forest,Male,22.9,6.7,4.19,265,157.5
Forest Dragon,Ancient Forest,Female,17.2,5.5,3.93,183.4,157.3
Forest Dragon,Ancient Forest,Female,20.6,5.8,4.14,220.2,165.4
Sea Dragon,Coastal Cliffs,Male,29.4,4.6,5.17,360.1,139.8
Forest Dragon,Coastal Cliffs,Male,22.7,6,4.24,236.8,157
Sea Dragon,Coastal Cliffs,Female,26.3,4.5,4.65,289.8,135.5
Forest Dragon,Ancient Forest,Female,21.5,5.4,4.14,212.6,159.7
Forest Dragon,Ancient Forest,Female,20,5.5,4.32,223.3,159.3
Mountain Dragon,Ancient Forest,Female,25.7,5.4,4.22,232.9,136.6
Forest Dragon,Coastal Cliffs,Male,22.4,6.6,4.07,279.3,150.5
Sea Dragon,Coastal Cliffs,Male,26.1,5.1,4.61,320.9,128.6
Forest Dragon,Coastal Cliffs,Female,19.7,5,3.89,198.5,156.9
Mountain Dragon,Ancient Forest,Female,22,5.3,4.07,208.2,126.5
Forest Dragon,Ancient Forest,Female,20.3,5.7,4.13,239.6,150.3
Mountain Dragon,Ancient Forest,Female,23.7,5.4,3.92,226.3,135.9
Sea Dragon,Coastal Cliffs,Male,27.7,4.9,4.67,342.7,132.6
Forest Dragon,Ancient Forest,Female,22,4.8,4.15,215.9,154.4
Forest Dragon,Ancient Forest,Female,19.4,5.7,4.3,219,163.7
Forest Dragon,Northern Peaks,NA,20.6,5.1,3.99,209.9,160.3
Forest Dragon,Ancient Forest,Female,18.3,4.9,4.01,214.8,161.1
Sea Dragon,Coastal Cliffs,Female,26.6,4.5,4.57,312,128.7
Forest Dragon,Coastal Cliffs,Male,22.3,5.6,4.21,248.3,162.2
Forest Dragon,Northern Peaks,Male,18.8,7,4.14,278.2,156.9
Sea Dragon,Coastal Cliffs,Male,27.8,5.6,4.98,351.1,136.6
Sea Dragon,Coastal Cliffs,Female,23.3,4.4,4.67,294.6,133
Sea Dragon,Coastal Cliffs,Male,25.3,4.8,4.79,335,129.3
Sea Dragon,Coastal Cliffs,Male,27.2,5,4.98,336.6,137.7
Sea Dragon,Coastal Cliffs,Female,23.5,4.4,4.53,296.1,128.7
Forest Dragon,Coastal Cliffs,Female,21.2,4.7,3.94,197.3,155
Forest Dragon,Coastal Cliffs,Female,19.3,6,4.02,182.6,160.4
Sea Dragon,Coastal Cliffs,Female,26,4.7,4.84,313.6,143.8
Forest Dragon,Ancient Forest,Male,23.3,5.5,4.54,275.9,157.5
Forest Dragon,Ancient Forest,Male,20.3,6.7,3.98,289.8,148
Mountain Dragon,Ancient Forest,Female,27.3,6,4.32,239.1,136.2
Mountain Dragon,Ancient Forest,Female,24.7,5.7,3.83,205.5,135.1
Forest Dragon,Coastal Cliffs,Female,21.8,5.6,4.22,185.8,161.2
Sea Dragon,Coastal Cliffs,Male,28.6,5.2,4.91,371.5,137.6
Sea Dragon,Coastal Cliffs,Male,27.4,4.5,4.53,306.3,131.9
Sea Dragon,Coastal Cliffs,Male,27.7,4.5,5.04,360.2,136.3
Sea Dragon,Coastal Cliffs,Female,24.8,4.9,4.59,268.7,145.5
Forest Dragon,Coastal Cliffs,Female,21.5,5.4,3.77,218.2,151.3
Forest Dragon,Northern Peaks,Male,23.1,5.1,4.26,269.1,163.9
Sea Dragon,Coastal Cliffs,Male,27.7,4.7,4.94,405.1,136.6
Mountain Dragon,Ancient Forest,Male,26.9,6.4,4.43,254.2,147.3
Mountain Dragon,Ancient Forest,Female,25.4,5.4,4.01,233.5,141.4
Sea Dragon,Coastal Cliffs,Male,25.2,4.6,4.79,325.1,131
Mountain Dragon,Ancient Forest,Female,26.4,5.2,4.2,247.9,134.6
Sea Dragon,Coastal Cliffs,Female,26.7,4.5,4.75,298,144.3
Sea Dragon,Coastal Cliffs,Male,24.8,5.4,4.94,378.2,135.6
Forest Dragon,Ancient Forest,Female,19.8,5.1,4.13,223.6,153.6
Sea Dragon,Coastal Cliffs,Male,26.7,5.4,4.62,349.3,134.1
Mountain Dragon,Ancient Forest,Female,24.1,5.6,4.28,210.3,149.7
Forest Dragon,Coastal Cliffs,Male,20.1,6.5,4.09,268.5,159.1
Sea Dragon,Coastal Cliffs,Female,25.5,4.6,4.55,265.4,138.6
Forest Dragon,Northern Peaks,Female,20.1,5.5,4.08,225.9,145.9
Sea Dragon,Coastal Cliffs,NA,25.6,4.1,4.78,260.9,142.4
Forest Dragon,Ancient Forest,Female,21,5.3,4.01,221,159.8
Forest Dragon,Ancient Forest,Male,22,5.5,4.07,235.8,159.3
Sea Dragon,Coastal Cliffs,NA,24.3,5.1,4.71,314.4,141.7
Forest Dragon,Northern Peaks,Male,23.4,5.6,4.66,261.4,166.6
Sea Dragon,Coastal Cliffs,Male,26.5,5.4,4.8,361.7,138.7
Forest Dragon,Northern Peaks,Male,21.1,5.3,3.96,251.6,161.8
Forest Dragon,Ancient Forest,Female,20,5.3,3.99,199.9,157.5
Sea Dragon,Coastal Cliffs,Male,26.5,5.4,4.82,353,133.2
Sea Dragon,Coastal Cliffs,NA,25.9,4.4,4.47,299.9,134.2
Forest Dragon,Northern Peaks,Female,19.9,5.5,4.01,232.9,156.8
Forest Dragon,Coastal Cliffs,Male,24.9,6.4,4.17,295,155
Mountain Dragon,Ancient Forest,Male,27.7,5.5,4.38,258.4,140.9
Forest Dragon,Ancient Forest,Female,20.6,5.7,4.1,214.4,154.8
Forest Dragon,Northern Peaks,Female,22.7,5.3,4.18,233.2,155.3
Forest Dragon,Ancient Forest,Male,20.6,6,3.94,249.7,159.5
Sea Dragon,Coastal Cliffs,Female,27,4.7,4.87,330,136
Mountain Dragon,Ancient Forest,Male,26.6,6.5,4.5,246.5,146.7
Mountain Dragon,Ancient Forest,Female,28,5.7,4.39,217.5,142.8
Sea Dragon,Coastal Cliffs,Female,25.5,4.5,4.48,267.3,134.3
Forest Dragon,Northern Peaks,Female,19.9,6,4.06,196.1,153.6
Forest Dragon,Ancient Forest,Female,20.1,6.6,4.06,209.1,164.9
Forest Dragon,Northern Peaks,Female,21.1,5,3.81,217.5,150.6
Forest Dragon,Coastal Cliffs,Female,20.8,5.1,3.99,183.9,157.6
Forest Dragon,Northern Peaks,Male,23.4,5.9,4.29,284.1,159.4
Sea Dragon,Coastal Cliffs,Female,24,4.5,4.8,279.7,138
Forest Dragon,Northern Peaks,Male,20.1,7.3,4.39,241.6,161.9
Sea Dragon,Coastal Cliffs,Female,23.7,4.4,4.51,290.2,133.3
Sea Dragon,Coastal Cliffs,Female,24.2,3.7,4.67,321.1,137.9
Forest Dragon,Northern Peaks,Female,21.1,5.1,4.18,215.8,164.2
Forest Dragon,Coastal Cliffs,Male,21.3,6,3.99,225.8,154.9
Sea Dragon,Coastal Cliffs,Male,25.8,4.9,4.63,351.5,134.1
Sea Dragon,Coastal Cliffs,Female,23.1,4.2,4.71,296.3,129.2
Forest Dragon,Northern Peaks,Female,21.2,5.1,3.92,231.1,157.7
Mountain Dragon,Ancient Forest,Female,24.5,6,4.1,227.5,132
Sea Dragon,Coastal Cliffs,Male,26.9,5.1,4.72,337.2,137.4
Forest Dragon,Coastal Cliffs,Female,22,5.5,4.06,203.9,161.7
Sea Dragon,Coastal Cliffs,Male,26.6,4.8,4.8,356.7,147.9
