session_id,question_id,page,question_label,needs_dashboard,response_value,dashboard_view_at_answer,viz_tab,scatter_x,scatter_y,bar_var,varietals_shown,n_dashboard_changes_this_question,n_chat_exchanges_this_question,typed_messages,llm_responses,copy_pasted_question,page_arrival_time,answered_at,page_departure_time,total_time_on_question_secs,time_to_answer_secs,last_interaction_before_answer_ts,thinking_time_secs,used_dashboard_this_question,used_chat_this_question,n_plot_images_shown
cdec2216e9b7790b61ac01940649436b,q1_altitude,q1,"A cooperative is buying land to plant a new coffee plot, and wants the coffee to sell for the highest possible price per kilogram. Based on the data, should they buy land at a higher or a lower altitude?",TRUE,higher,Scatter | varietals: All Varietals | x: altitude_m | y: price_per_kg_usd,Scatter,altitude_m,price_per_kg_usd,price_per_kg_usd,All Varietals,2,1,"A cooperative is buying land to plant a new coffee plot, and wants the coffee to sell for the highest possible price per kilogram. Based on the data, should they buy land at a higher or a lower altitude?","The current plot shows farm size vs. tree age, so it can't answer that question directly. To see how altitude relates to price, you'd need to change the **X axis** to `altitude_m` and the **Y axis** to `price_per_kg_usd` in the scatter controls.",TRUE,2026-09-08T13:45:28Z,2026-09-08T13:46:23Z,2026-09-08T13:46:24Z,56,55,2026-09-08T13:46:10Z,12.18044400215149,TRUE,TRUE,0
d8c0242ae6fe380933f76e451cffdf06,q1_altitude,q1,"A cooperative is buying land to plant a new coffee plot, and wants the coffee to sell for the highest possible price per kilogram. Based on the data, should they buy land at a higher or a lower altitude?",TRUE,no_effect,Scatter | varietals: All Varietals | x: farm_size_ha | y: tree_age_years,Scatter,farm_size_ha,tree_age_years,price_per_kg_usd,All Varietals,0,0,,,NA,2026-09-08T04:32:33Z,2026-09-08T04:32:34Z,2026-09-08T04:32:34Z,1,1,2026-09-08T04:32:19Z,14.502027034759521,FALSE,FALSE,0
6860fa08bd8630e0597a1a92f761fd01,q2_size_altitude,q2,"Among farms of the same size, which varietal tends to be grown at a higher altitude — Caturra or Typica?",TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,,,NA,2026-09-08T04:27:13Z,NA,2026-09-08T04:27:14Z,1,NA,NA,NA,FALSE,FALSE,0
c2d59b81e56facd637c2f6d823da85ab,q2_size_altitude,q2,"Among farms of the same size, which varietal tends to be grown at a higher altitude — Caturra or Typica?",TRUE,typica,"Scatter | varietals: Bourbon, Catuai, Caturra, Gesha, Typica | x: farm_size_ha | y: price_per_kg_usd",Scatter,farm_size_ha,price_per_kg_usd,price_per_kg_usd,"Bourbon, Catuai, Caturra, Gesha, Typica",0,0,,,NA,2026-09-08T13:57:32Z,2026-09-08T13:57:34Z,2026-09-08T13:57:35Z,3,2,2026-09-08T13:57:30Z,3.4738919734954834,FALSE,FALSE,0
cdec2216e9b7790b61ac01940649436b,q2_size_altitude,q2,"Among farms of the same size, which varietal tends to be grown at a higher altitude — Caturra or Typica?",TRUE,caturra,"Bar | varietals: Catuai, Typica | variable: altitude_m",Bar,altitude_m,price_per_kg_usd,altitude_m,"Catuai, Typica",5,0,,,NA,2026-09-08T13:46:24Z,2026-09-08T13:47:03Z,2026-09-08T13:47:04Z,40,39,2026-09-08T13:46:54Z,8.702801942825317,TRUE,FALSE,0
d8c0242ae6fe380933f76e451cffdf06,q2_size_altitude,q2,"Among farms of the same size, which varietal tends to be grown at a higher altitude — Caturra or Typica?",TRUE,same,"Scatter | varietals: All Varietals, Catuai, Gesha | x: altitude_m | y: tree_age_years",Scatter,altitude_m,tree_age_years,price_per_kg_usd,"All Varietals, Catuai, Gesha",5,0,,,NA,2026-09-08T04:32:34Z,2026-09-08T04:32:46Z,2026-09-08T04:32:47Z,13,12,2026-09-08T04:32:42Z,3.0904760360717773,TRUE,FALSE,0
6860fa08bd8630e0597a1a92f761fd01,q3_price,q3,Which varietal has the highest average price per kilogram?,TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,,,NA,2026-09-08T04:27:14Z,NA,2026-09-08T04:27:16Z,2,NA,NA,NA,FALSE,FALSE,0
c2d59b81e56facd637c2f6d823da85ab,q3_price,q3,Which varietal has the highest average price per kilogram?,TRUE,gesha,"Scatter | varietals: Bourbon, Catuai, Caturra, Gesha, Typica | x: farm_size_ha | y: price_per_kg_usd",Scatter,farm_size_ha,price_per_kg_usd,price_per_kg_usd,"Bourbon, Catuai, Caturra, Gesha, Typica",0,0,,,NA,2026-09-08T13:57:35Z,2026-09-08T13:57:36Z,2026-09-08T13:57:37Z,2,1,2026-09-08T13:57:30Z,5.473891973495483,FALSE,FALSE,0
cdec2216e9b7790b61ac01940649436b,q3_price,q3,Which varietal has the highest average price per kilogram?,TRUE,gesha,Bar | varietals: All Varietals | variable: price_per_kg_usd,Bar,altitude_m,price_per_kg_usd,price_per_kg_usd,All Varietals,4,0,,,NA,2026-09-08T13:47:04Z,2026-09-08T13:47:19Z,2026-09-08T13:47:20Z,16,15,2026-09-08T13:47:14Z,4.612275123596191,TRUE,FALSE,0
d8c0242ae6fe380933f76e451cffdf06,q3_price,q3,Which varietal has the highest average price per kilogram?,TRUE,catuai,"Scatter | varietals: All Varietals, Catuai, Gesha | x: altitude_m | y: tree_age_years",Scatter,altitude_m,tree_age_years,price_per_kg_usd,"All Varietals, Catuai, Gesha",0,0,,,NA,2026-09-08T04:32:47Z,2026-09-08T04:32:48Z,2026-09-08T04:32:49Z,2,1,2026-09-08T04:32:42Z,5.090476036071777,FALSE,FALSE,0
6860fa08bd8630e0597a1a92f761fd01,q4_altitude_varietal,q4,Which varietal is grown at the highest average altitude?,TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,,,NA,2026-09-08T04:27:16Z,NA,2026-09-08T04:27:17Z,1,NA,NA,NA,FALSE,FALSE,0
c2d59b81e56facd637c2f6d823da85ab,q4_altitude_varietal,q4,Which varietal is grown at the highest average altitude?,TRUE,gesha,"Scatter | varietals: Bourbon, Catuai, Caturra, Gesha, Typica | x: farm_size_ha | y: price_per_kg_usd",Scatter,farm_size_ha,price_per_kg_usd,price_per_kg_usd,"Bourbon, Catuai, Caturra, Gesha, Typica",0,0,,,NA,2026-09-08T13:57:37Z,2026-09-08T13:57:38Z,2026-09-08T13:57:38Z,1,1,2026-09-08T13:57:30Z,7.473891973495483,FALSE,FALSE,0
cdec2216e9b7790b61ac01940649436b,q4_altitude_varietal,q4,Which varietal is grown at the highest average altitude?,TRUE,gesha,Bar | varietals: All Varietals | variable: altitude_m,Bar,altitude_m,price_per_kg_usd,altitude_m,All Varietals,5,0,,,NA,2026-09-08T13:47:20Z,2026-09-08T13:47:39Z,2026-09-08T13:47:53Z,33,19,2026-09-08T13:47:32Z,6.104857921600342,TRUE,FALSE,0
d8c0242ae6fe380933f76e451cffdf06,q4_altitude_varietal,q4,Which varietal is grown at the highest average altitude?,TRUE,caturra,"Scatter | varietals: All Varietals, Catuai, Gesha | x: altitude_m | y: tree_age_years",Scatter,altitude_m,tree_age_years,price_per_kg_usd,"All Varietals, Catuai, Gesha",0,0,,,NA,2026-09-08T04:32:49Z,2026-09-08T04:32:50Z,2026-09-08T04:32:51Z,2,1,2026-09-08T04:32:42Z,7.090476036071777,FALSE,FALSE,0
6860fa08bd8630e0597a1a92f761fd01,q5_yield_price,q5,How are yield per hectare and price per kilogram related?,TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,,,NA,2026-09-08T04:27:17Z,NA,2026-09-08T04:27:22Z,5,NA,NA,NA,FALSE,FALSE,0
c2d59b81e56facd637c2f6d823da85ab,q5_yield_price,q5,How are yield per hectare and price per kilogram related?,TRUE,negative,"Scatter | varietals: Bourbon, Catuai, Caturra, Gesha, Typica | x: farm_size_ha | y: price_per_kg_usd",Scatter,farm_size_ha,price_per_kg_usd,price_per_kg_usd,"Bourbon, Catuai, Caturra, Gesha, Typica",0,0,,,NA,2026-09-08T13:57:38Z,2026-09-08T13:57:40Z,2026-09-08T13:59:41Z,123,2,2026-09-08T13:57:30Z,9.473891973495483,FALSE,FALSE,0
cdec2216e9b7790b61ac01940649436b,q5_yield_price,q5,How are yield per hectare and price per kilogram related?,TRUE,negative,Scatter | varietals: All Varietals | x: yield_kg_per_ha | y: price_per_kg_usd,Scatter,yield_kg_per_ha,price_per_kg_usd,altitude_m,All Varietals,4,0,,,NA,2026-09-08T13:47:53Z,2026-09-08T13:48:15Z,2026-09-08T13:48:44Z,51,22,2026-09-08T13:48:11Z,3.0795719623565674,TRUE,FALSE,0
d8c0242ae6fe380933f76e451cffdf06,q5_yield_price,q5,How are yield per hectare and price per kilogram related?,TRUE,no_relation,"Scatter | varietals: All Varietals, Catuai, Gesha | x: altitude_m | y: tree_age_years",Scatter,altitude_m,tree_age_years,price_per_kg_usd,"All Varietals, Catuai, Gesha",10,3,explain the plot || explain the plot || explain the plot,"This is a bar chart showing the mean farm size (in hectares) for five coffee varietals: Bourbon, Catuai, Caturra, Gesha, and Typica. All five varietals have very similar average farm sizes, clustering tightly around 12–13 ha. Caturra appears marginally the largest and Bourbon marginally the smallest, but the differences are quite small — there's no standout varietal here. Overall, farm size appears broadly consistent across varietals in this dataset. || This bar chart shows the mean growing altitude (in metres) for each of the five coffee varietals. Unlike farm size, there are meaningful differences here. Gesha farms sit highest on average at around 1,600 m, followed by Catuai (~1,475 m), Typica (~1,350 m), and Caturra (~1,225 m). Bourbon is grown at the lowest average altitude, around 1,075 m — roughly 500 m below Gesha. This suggests Gesha tends to be cultivated in notably higher-elevation environments than the other varietals, while Bourbon is most associated with lower altitudes. || This scatter plot shows the relationship between farm altitude (x-axis, in metres) and price per kg in USD (y-axis). There is a moderate positive association — as altitude increases, price per kg tends to rise. Farms below ~1,200 m cluster mostly between $4–10/kg, while farms above ~1,400 m show prices more commonly reaching $12–17/kg.

The spread is fairly wide at all altitudes, indicating altitude alone doesn't fully determine price. There are a few outliers, notably one point around 900 m fetching ~$13/kg, and some high-altitude farms still achieving relatively low prices. To explore whether this pattern differs by varietal, you could select a specific varietal subset using the Varietal control, which would colour the points accordingly.",FALSE,2026-09-08T04:32:51Z,2026-09-08T04:32:52Z,NA,1,1,2026-09-08T04:32:42Z,9.090476036071777,TRUE,TRUE,3
6860fa08bd8630e0597a1a92f761fd01,birth_year,demographics,What is your year of birth?,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,,,NA,2026-09-08T04:27:22Z,NA,2026-09-08T04:27:26Z,4,NA,NA,NA,FALSE,FALSE,0
c2d59b81e56facd637c2f6d823da85ab,birth_year,demographics,What is your year of birth?,FALSE,2003,"Scatter | varietals: Bourbon, Catuai, Caturra, Gesha, Typica | x: farm_size_ha | y: price_per_kg_usd",Scatter,farm_size_ha,price_per_kg_usd,price_per_kg_usd,"Bourbon, Catuai, Caturra, Gesha, Typica",0,0,,,NA,2026-09-08T13:59:41Z,2026-09-08T13:59:44Z,2026-09-08T14:00:02Z,21,3,2026-09-08T13:57:30Z,133.47389197349548,FALSE,FALSE,0
cdec2216e9b7790b61ac01940649436b,birth_year,demographics,What is your year of birth?,FALSE,1989,Scatter | varietals: All Varietals | x: yield_kg_per_ha | y: price_per_kg_usd,Scatter,yield_kg_per_ha,price_per_kg_usd,altitude_m,All Varietals,0,0,,,NA,2026-09-08T13:48:44Z,2026-09-08T13:48:56Z,2026-09-08T13:49:23Z,39,12,2026-09-08T13:48:11Z,44.07957196235657,FALSE,FALSE,0
6860fa08bd8630e0597a1a92f761fd01,gender,demographics,What is your gender?,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,,,NA,2026-09-08T04:27:22Z,NA,2026-09-08T04:27:26Z,4,NA,NA,NA,FALSE,FALSE,0
c2d59b81e56facd637c2f6d823da85ab,gender,demographics,What is your gender?,FALSE,non_binary,"Scatter | varietals: Bourbon, Catuai, Caturra, Gesha, Typica | x: farm_size_ha | y: price_per_kg_usd",Scatter,farm_size_ha,price_per_kg_usd,price_per_kg_usd,"Bourbon, Catuai, Caturra, Gesha, Typica",0,0,,,NA,2026-09-08T13:59:41Z,2026-09-08T13:59:44Z,2026-09-08T14:00:02Z,21,3,2026-09-08T13:57:30Z,133.47389197349548,FALSE,FALSE,0
cdec2216e9b7790b61ac01940649436b,gender,demographics,What is your gender?,FALSE,male,Scatter | varietals: All Varietals | x: yield_kg_per_ha | y: price_per_kg_usd,Scatter,yield_kg_per_ha,price_per_kg_usd,altitude_m,All Varietals,0,0,,,NA,2026-09-08T13:48:44Z,2026-09-08T13:48:58Z,2026-09-08T13:49:23Z,39,14,2026-09-08T13:48:11Z,46.07957196235657,FALSE,FALSE,0
6860fa08bd8630e0597a1a92f761fd01,ethnicity,demographics,"Are you of Hispanic, Latino or Spanish origin?",FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,,,NA,2026-09-08T04:27:22Z,NA,2026-09-08T04:27:26Z,4,NA,NA,NA,FALSE,FALSE,0
c2d59b81e56facd637c2f6d823da85ab,ethnicity,demographics,"Are you of Hispanic, Latino or Spanish origin?",FALSE,no,"Scatter | varietals: Bourbon, Catuai, Caturra, Gesha, Typica | x: farm_size_ha | y: price_per_kg_usd",Scatter,farm_size_ha,price_per_kg_usd,price_per_kg_usd,"Bourbon, Catuai, Caturra, Gesha, Typica",0,0,,,NA,2026-09-08T13:59:41Z,2026-09-08T13:59:45Z,2026-09-08T14:00:02Z,21,4,2026-09-08T13:57:30Z,134.47389197349548,FALSE,FALSE,0
cdec2216e9b7790b61ac01940649436b,ethnicity,demographics,"Are you of Hispanic, Latino or Spanish origin?",FALSE,no,Scatter | varietals: All Varietals | x: yield_kg_per_ha | y: price_per_kg_usd,Scatter,yield_kg_per_ha,price_per_kg_usd,altitude_m,All Varietals,0,0,,,NA,2026-09-08T13:48:44Z,2026-09-08T13:48:59Z,2026-09-08T13:49:23Z,39,15,2026-09-08T13:48:11Z,47.07957196235657,FALSE,FALSE,0
6860fa08bd8630e0597a1a92f761fd01,race,demographics,Which race best describes you?,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,,,NA,2026-09-08T04:27:22Z,NA,2026-09-08T04:27:26Z,4,NA,NA,NA,FALSE,FALSE,0
c2d59b81e56facd637c2f6d823da85ab,race,demographics,Which race best describes you?,FALSE,mena,"Scatter | varietals: Bourbon, Catuai, Caturra, Gesha, Typica | x: farm_size_ha | y: price_per_kg_usd",Scatter,farm_size_ha,price_per_kg_usd,price_per_kg_usd,"Bourbon, Catuai, Caturra, Gesha, Typica",0,0,,,NA,2026-09-08T13:59:41Z,2026-09-08T13:59:46Z,2026-09-08T14:00:02Z,21,5,2026-09-08T13:57:30Z,135.47389197349548,FALSE,FALSE,0
cdec2216e9b7790b61ac01940649436b,race,demographics,Which race best describes you?,FALSE,asian,Scatter | varietals: All Varietals | x: yield_kg_per_ha | y: price_per_kg_usd,Scatter,yield_kg_per_ha,price_per_kg_usd,altitude_m,All Varietals,0,0,,,NA,2026-09-08T13:48:44Z,2026-09-08T13:49:01Z,2026-09-08T13:49:23Z,39,17,2026-09-08T13:48:11Z,49.07957196235657,FALSE,FALSE,0
6860fa08bd8630e0597a1a92f761fd01,employment,demographics,Which of the following describes your current employment status?,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,,,NA,2026-09-08T04:27:22Z,NA,2026-09-08T04:27:26Z,4,NA,NA,NA,FALSE,FALSE,0
c2d59b81e56facd637c2f6d823da85ab,employment,demographics,Which of the following describes your current employment status?,FALSE,full_time,"Scatter | varietals: Bourbon, Catuai, Caturra, Gesha, Typica | x: farm_size_ha | y: price_per_kg_usd",Scatter,farm_size_ha,price_per_kg_usd,price_per_kg_usd,"Bourbon, Catuai, Caturra, Gesha, Typica",0,0,,,NA,2026-09-08T13:59:41Z,2026-09-08T13:59:48Z,2026-09-08T14:00:02Z,21,7,2026-09-08T13:57:30Z,137.47389197349548,FALSE,FALSE,0
cdec2216e9b7790b61ac01940649436b,employment,demographics,Which of the following describes your current employment status?,FALSE,full_time,Scatter | varietals: All Varietals | x: yield_kg_per_ha | y: price_per_kg_usd,Scatter,yield_kg_per_ha,price_per_kg_usd,altitude_m,All Varietals,0,0,,,NA,2026-09-08T13:48:44Z,2026-09-08T13:49:02Z,2026-09-08T13:49:23Z,39,18,2026-09-08T13:48:11Z,50.07957196235657,FALSE,FALSE,0
6860fa08bd8630e0597a1a92f761fd01,hh_income,demographics,What is your annual household income?,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,,,NA,2026-09-08T04:27:22Z,NA,2026-09-08T04:27:26Z,4,NA,NA,NA,FALSE,FALSE,0
c2d59b81e56facd637c2f6d823da85ab,hh_income,demographics,What is your annual household income?,FALSE,55000,"Scatter | varietals: Bourbon, Catuai, Caturra, Gesha, Typica | x: farm_size_ha | y: price_per_kg_usd",Scatter,farm_size_ha,price_per_kg_usd,price_per_kg_usd,"Bourbon, Catuai, Caturra, Gesha, Typica",0,0,,,NA,2026-09-08T13:59:41Z,2026-09-08T13:59:50Z,2026-09-08T14:00:02Z,21,9,2026-09-08T13:57:30Z,139.47389197349548,FALSE,FALSE,0
cdec2216e9b7790b61ac01940649436b,hh_income,demographics,What is your annual household income?,FALSE,55000,Scatter | varietals: All Varietals | x: yield_kg_per_ha | y: price_per_kg_usd,Scatter,yield_kg_per_ha,price_per_kg_usd,altitude_m,All Varietals,0,0,,,NA,2026-09-08T13:48:44Z,2026-09-08T13:49:05Z,2026-09-08T13:49:23Z,39,21,2026-09-08T13:48:11Z,53.07957196235657,FALSE,FALSE,0
6860fa08bd8630e0597a1a92f761fd01,education,demographics,What is the highest level of education you have completed?,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,,,NA,2026-09-08T04:27:22Z,NA,2026-09-08T04:27:26Z,4,NA,NA,NA,FALSE,FALSE,0
c2d59b81e56facd637c2f6d823da85ab,education,demographics,What is the highest level of education you have completed?,FALSE,college_more,"Scatter | varietals: Bourbon, Catuai, Caturra, Gesha, Typica | x: farm_size_ha | y: price_per_kg_usd",Scatter,farm_size_ha,price_per_kg_usd,price_per_kg_usd,"Bourbon, Catuai, Caturra, Gesha, Typica",0,0,,,NA,2026-09-08T13:59:41Z,2026-09-08T13:59:52Z,2026-09-08T14:00:02Z,21,11,2026-09-08T13:57:30Z,141.47389197349548,FALSE,FALSE,0
cdec2216e9b7790b61ac01940649436b,education,demographics,What is the highest level of education you have completed?,FALSE,master,Scatter | varietals: All Varietals | x: yield_kg_per_ha | y: price_per_kg_usd,Scatter,yield_kg_per_ha,price_per_kg_usd,altitude_m,All Varietals,0,0,,,NA,2026-09-08T13:48:44Z,2026-09-08T13:49:10Z,2026-09-08T13:49:23Z,39,26,2026-09-08T13:48:11Z,58.07957196235657,FALSE,FALSE,0
6860fa08bd8630e0597a1a92f761fd01,political_view,demographics,How would you describe your political views?,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,,,NA,2026-09-08T04:27:22Z,NA,2026-09-08T04:27:26Z,4,NA,NA,NA,FALSE,FALSE,0
c2d59b81e56facd637c2f6d823da85ab,political_view,demographics,How would you describe your political views?,FALSE,very_liberal,"Scatter | varietals: Bourbon, Catuai, Caturra, Gesha, Typica | x: farm_size_ha | y: price_per_kg_usd",Scatter,farm_size_ha,price_per_kg_usd,price_per_kg_usd,"Bourbon, Catuai, Caturra, Gesha, Typica",0,0,,,NA,2026-09-08T13:59:41Z,2026-09-08T13:59:53Z,2026-09-08T14:00:02Z,21,12,2026-09-08T13:57:30Z,142.47389197349548,FALSE,FALSE,0
cdec2216e9b7790b61ac01940649436b,political_view,demographics,How would you describe your political views?,FALSE,moderate,Scatter | varietals: All Varietals | x: yield_kg_per_ha | y: price_per_kg_usd,Scatter,yield_kg_per_ha,price_per_kg_usd,altitude_m,All Varietals,0,0,,,NA,2026-09-08T13:48:44Z,2026-09-08T13:49:13Z,2026-09-08T13:49:23Z,39,29,2026-09-08T13:48:11Z,61.07957196235657,FALSE,FALSE,0
6860fa08bd8630e0597a1a92f761fd01,party_voting,demographics,Which political party do you typically vote for?,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,,,NA,2026-09-08T04:27:22Z,NA,2026-09-08T04:27:26Z,4,NA,NA,NA,FALSE,FALSE,0
c2d59b81e56facd637c2f6d823da85ab,party_voting,demographics,Which political party do you typically vote for?,FALSE,republican,"Scatter | varietals: Bourbon, Catuai, Caturra, Gesha, Typica | x: farm_size_ha | y: price_per_kg_usd",Scatter,farm_size_ha,price_per_kg_usd,price_per_kg_usd,"Bourbon, Catuai, Caturra, Gesha, Typica",0,0,,,NA,2026-09-08T13:59:41Z,2026-09-08T13:59:55Z,2026-09-08T14:00:02Z,21,14,2026-09-08T13:57:30Z,144.47389197349548,FALSE,FALSE,0
cdec2216e9b7790b61ac01940649436b,party_voting,demographics,Which political party do you typically vote for?,FALSE,independent,Scatter | varietals: All Varietals | x: yield_kg_per_ha | y: price_per_kg_usd,Scatter,yield_kg_per_ha,price_per_kg_usd,altitude_m,All Varietals,0,0,,,NA,2026-09-08T13:48:44Z,2026-09-08T13:49:15Z,2026-09-08T13:49:23Z,39,31,2026-09-08T13:48:11Z,63.07957196235657,FALSE,FALSE,0
6860fa08bd8630e0597a1a92f761fd01,home_zipcode,demographics,What is the zip code of your primary residence?,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,,,NA,2026-09-08T04:27:22Z,NA,2026-09-08T04:27:26Z,4,NA,NA,NA,FALSE,FALSE,0
c2d59b81e56facd637c2f6d823da85ab,home_zipcode,demographics,What is the zip code of your primary residence?,FALSE,12345,"Scatter | varietals: Bourbon, Catuai, Caturra, Gesha, Typica | x: farm_size_ha | y: price_per_kg_usd",Scatter,farm_size_ha,price_per_kg_usd,price_per_kg_usd,"Bourbon, Catuai, Caturra, Gesha, Typica",0,0,,,NA,2026-09-08T13:59:41Z,2026-09-08T13:59:59Z,2026-09-08T14:00:02Z,21,18,2026-09-08T13:57:30Z,148.47389197349548,FALSE,FALSE,0
cdec2216e9b7790b61ac01940649436b,home_zipcode,demographics,What is the zip code of your primary residence?,FALSE,12345,Scatter | varietals: All Varietals | x: yield_kg_per_ha | y: price_per_kg_usd,Scatter,yield_kg_per_ha,price_per_kg_usd,altitude_m,All Varietals,0,0,,,NA,2026-09-08T13:48:44Z,2026-09-08T13:49:19Z,2026-09-08T13:49:23Z,39,35,2026-09-08T13:48:11Z,67.07957196235657,FALSE,FALSE,0
6860fa08bd8630e0597a1a92f761fd01,attention_check_survey_content,demographics,Please briefly describe what this survey is about,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,,,NA,2026-09-08T04:27:22Z,NA,2026-09-08T04:27:26Z,4,NA,NA,NA,FALSE,FALSE,0
