dragon_type,region,sex,claw_length_cm,claw_thickness_cm,wingspan_m,weight_kg,flying_speed_kmh
Sea Dragon,Coastal Cliffs,Male,26,4.8,4.28,338.8,93.5
Sea Dragon,Coastal Cliffs,Male,26.8,5.5,4.4,377.6,100.3
Sea Dragon,Coastal Cliffs,Female,26.6,4.7,4.12,292.9,104.1
Forest Dragon,Ancient Forest,Male,21.1,5.6,4.21,239,174.5
Forest Dragon,Coastal Cliffs,Male,18.8,6.4,4.14,239.3,155
Forest Dragon,Coastal Cliffs,Female,20.4,6.5,4.13,242.6,163.7
Forest Dragon,Ancient Forest,Male,24.6,6.1,4.33,281.7,159.6
Mountain Dragon,Ancient Forest,Male,28,6.2,4.31,282.8,129.6
Sea Dragon,Coastal Cliffs,Male,26.9,4.3,4.43,360.3,92.4
Forest Dragon,Coastal Cliffs,Female,22.1,5.4,4,225.2,153.2
Forest Dragon,Ancient Forest,Male,23.3,5.3,4.05,250.1,140.8
Forest Dragon,Ancient Forest,Male,20.8,5.8,4.09,296.6,149
Forest Dragon,Coastal Cliffs,Male,22.6,5.8,4.13,240.5,148
Sea Dragon,Coastal Cliffs,Female,24.7,5,4.23,330.9,87.5
Forest Dragon,Northern Peaks,Female,18.8,5.9,4.16,230.3,171.1
Forest Dragon,Coastal Cliffs,Female,21.8,5.4,4.12,204.8,180.4
Forest Dragon,Coastal Cliffs,Male,23.1,6.7,4.49,299.6,169.4
Forest Dragon,Ancient Forest,Male,20.8,6,4.04,254.2,142.7
Forest Dragon,Northern Peaks,NA,24.2,6.5,4.19,269.4,157.7
Sea Dragon,Coastal Cliffs,Male,25.8,4.5,4.5,339.5,99.7
Forest Dragon,Northern Peaks,Female,23.9,5.2,3.93,203.8,144.4
Sea Dragon,Coastal Cliffs,Male,27.7,5.3,4.46,368.1,97
Sea Dragon,Coastal Cliffs,Female,27.2,5.1,4.45,308,116
Forest Dragon,Ancient Forest,Male,21.7,6.5,4.22,263.5,160.3
Sea Dragon,Coastal Cliffs,Male,25,4.8,4.62,315.1,119.2
Forest Dragon,Northern Peaks,Female,18.7,5,4.11,193.3,164.9
Mountain Dragon,Ancient Forest,Male,27.1,6,4.38,227.1,144.5
Sea Dragon,Coastal Cliffs,Female,25.5,4.5,4.14,310.6,82.4
Forest Dragon,Northern Peaks,Female,22.3,5.8,4.2,204.3,169.1
Mountain Dragon,Ancient Forest,Female,25.5,5.5,4.21,210.3,128.8
Sea Dragon,Coastal Cliffs,Male,26.8,4.6,4.36,358.4,98.9
Forest Dragon,Ancient Forest,Female,22,5.1,4.06,214.4,139
Mountain Dragon,Ancient Forest,Male,28.1,5.9,4.28,221.1,137.3
Forest Dragon,Ancient Forest,NA,20,6.3,3.91,187.5,146.9
Mountain Dragon,Ancient Forest,Male,30.8,6.6,4.62,256.6,161.1
Sea Dragon,Coastal Cliffs,Female,24.7,4.5,4.13,304.8,88.4
Sea Dragon,Coastal Cliffs,Female,25.7,4.4,4.25,286,98.3
Sea Dragon,Coastal Cliffs,Female,26.4,4.8,4.37,303.7,105.2
Sea Dragon,Coastal Cliffs,Male,23.1,4.4,4.24,337.3,80.4
Mountain Dragon,Ancient Forest,Male,27.9,6.1,4.77,267.8,161.5
Mountain Dragon,Ancient Forest,Male,28.2,5.7,4.01,205,140.9
Forest Dragon,Northern Peaks,Male,22.7,5.5,4.37,252.4,181.8
Forest Dragon,Ancient Forest,Female,19.5,6.2,4.17,193.1,152.2
Sea Dragon,Coastal Cliffs,Female,25.9,5.1,4.29,314.8,110.7
Sea Dragon,Coastal Cliffs,Male,30.3,5.3,4.54,350.4,121
Sea Dragon,Coastal Cliffs,Male,29.9,4.5,4.4,352.1,109
Forest Dragon,Ancient Forest,Male,21.7,5.3,4.45,270.4,176.1
Sea Dragon,Coastal Cliffs,Female,25.2,4.2,4.31,304.4,108.6
Mountain Dragon,Ancient Forest,Male,27.9,5.9,4.59,305.6,144
Sea Dragon,Coastal Cliffs,Female,22.8,4.6,4.22,299.5,83.7
Sea Dragon,Coastal Cliffs,NA,25.5,4.6,4.43,298.1,108.5
Forest Dragon,Northern Peaks,Male,21.7,6.8,4.11,233.2,141.2
Forest Dragon,Northern Peaks,Male,22.2,6.3,4.44,254.3,186.2
Sea Dragon,Coastal Cliffs,Male,25.2,4.8,4.52,321.2,129
Sea Dragon,Coastal Cliffs,Female,24.1,4.6,4.1,277.9,89.5
Sea Dragon,Coastal Cliffs,Male,24.4,4.6,4.55,318.7,109.5
Forest Dragon,Ancient Forest,Male,20.5,5.8,4.33,281.4,159.9
Forest Dragon,Coastal Cliffs,Female,20.9,5.1,4.31,241.7,170.2
Forest Dragon,Ancient Forest,Male,23.7,6.2,4.09,260.5,165.5
Sea Dragon,Coastal Cliffs,Female,22.9,4.6,4.2,284.7,101.9
Sea Dragon,Coastal Cliffs,Male,28.4,5.1,4.46,353.2,118.9
Forest Dragon,Northern Peaks,Male,19.3,6.3,4.17,270.4,157.5
Forest Dragon,Ancient Forest,Male,23,6.3,4.12,245.8,164.9
Forest Dragon,Coastal Cliffs,Female,19.7,5.9,3.89,202.2,141.2
Mountain Dragon,Ancient Forest,Male,27,5.8,4.3,260,134.2
Sea Dragon,Coastal Cliffs,Female,22.3,4.7,4.29,299,114.7
Mountain Dragon,Ancient Forest,Female,24.8,5.6,4.11,241,127.9
Forest Dragon,Coastal Cliffs,Female,20.7,5.3,4.09,227,153.9
Sea Dragon,Coastal Cliffs,Female,23.8,3.9,4.47,315.8,108.8
Mountain Dragon,Ancient Forest,Female,24.3,5.3,4.35,224,144.5
Forest Dragon,Ancient Forest,Female,19.1,5.3,4.14,236.4,145.6
Sea Dragon,Coastal Cliffs,Male,27.3,4.5,4.65,364,123.4
Sea Dragon,Coastal Cliffs,Male,27.3,5.1,4.6,367.5,106.6
Mountain Dragon,Ancient Forest,Female,26.5,5.6,4.55,212.2,171.1
Sea Dragon,Coastal Cliffs,Male,27.9,4.8,4.51,378.1,91.1
Sea Dragon,Coastal Cliffs,Male,25.9,4.6,4.44,335.7,111.4
Sea Dragon,Coastal Cliffs,Female,25.1,4.5,4.45,307.3,131.4
Sea Dragon,Coastal Cliffs,Male,25.8,4.5,4.28,372,85.2
Forest Dragon,Northern Peaks,Male,19.7,6.3,4.21,221.7,178.4
Sea Dragon,Coastal Cliffs,Male,27.7,4.9,4.69,376.5,127.2
Forest Dragon,Northern Peaks,Male,22.2,5.7,4.04,236.8,152.9
Forest Dragon,Ancient Forest,Female,18.8,5.4,4.42,199.7,191.9
Forest Dragon,Ancient Forest,Female,19.7,5.6,4.01,221.8,146.3
Sea Dragon,Coastal Cliffs,Female,24.2,4,4.39,317.9,119.8
Mountain Dragon,Ancient Forest,Male,27.9,6.2,4.18,236.2,155.6
Mountain Dragon,Ancient Forest,Male,29,6.4,4.47,283.8,125.9
Sea Dragon,Coastal Cliffs,Male,25.4,3.9,4.35,344.1,103.9
Forest Dragon,Northern Peaks,Male,25.4,5.7,4.33,264,177.3
Sea Dragon,Coastal Cliffs,Male,25.9,4.7,4.6,385.6,104.9
Mountain Dragon,Ancient Forest,Male,27.6,6.4,4.31,265.2,129.9
Sea Dragon,Coastal Cliffs,Male,27,4.3,4.41,362.4,100.7
Sea Dragon,Coastal Cliffs,Female,25,3.9,4.55,305,98.5
Forest Dragon,Northern Peaks,Male,23.1,6.4,4.32,283.5,174.8
Sea Dragon,Coastal Cliffs,Male,28.1,4.7,4.47,331.5,92.7
Sea Dragon,Coastal Cliffs,Male,26.9,5.2,4.63,352.4,122.2
Forest Dragon,Ancient Forest,Male,22.2,5,4.05,216.5,165.6
Forest Dragon,Ancient Forest,Male,21.9,6.4,4.16,253.3,150
Mountain Dragon,Ancient Forest,Male,28.4,6.1,4.17,239.7,122.6
Sea Dragon,Coastal Cliffs,Female,24.9,5.1,4.44,334.3,128.7
Forest Dragon,Coastal Cliffs,Male,22,5.3,3.83,243.1,134.8
Forest Dragon,Coastal Cliffs,Male,20.6,6.2,4.16,248.9,169.2
Sea Dragon,Coastal Cliffs,Male,26.8,4.9,4.32,315.6,101.3
Mountain Dragon,Ancient Forest,Male,28.7,5.5,4.56,259.8,140.6
Mountain Dragon,Ancient Forest,Female,26.2,5.8,4.22,230.9,122.9
Forest Dragon,Ancient Forest,Male,22.7,6.1,3.91,218.8,139.9
Mountain Dragon,Ancient Forest,Male,26.8,5.4,4.28,278.1,131.5
Mountain Dragon,Ancient Forest,Male,27.8,6.5,4.34,212.1,155.6
Mountain Dragon,Ancient Forest,Male,27.1,6,4.28,240.5,127.3
Forest Dragon,Northern Peaks,Male,22.3,5.1,4.16,275.5,166.2
Forest Dragon,Ancient Forest,Female,22.6,5.8,3.95,226.3,145.7
Mountain Dragon,Ancient Forest,Male,27.3,6,4.44,246.1,154.1
Sea Dragon,Coastal Cliffs,Female,24.4,4.7,4.32,301.7,118.3
Forest Dragon,Northern Peaks,Female,21.6,6.2,4.26,217.5,179.4
Mountain Dragon,Ancient Forest,Male,26.6,5.8,4.41,257.7,137.2
Mountain Dragon,Ancient Forest,Male,28.2,5.6,4.3,240.2,113.9
Forest Dragon,Northern Peaks,Female,18.3,4.9,4.13,204.9,163.7
Forest Dragon,Coastal Cliffs,Female,21.5,5.5,4.06,225.4,154.2
Forest Dragon,Ancient Forest,Male,22.4,5.9,4.28,248.5,192.5
Sea Dragon,Coastal Cliffs,Female,27.6,4.9,4.32,319.9,116.8
Forest Dragon,Northern Peaks,Male,21.7,6.1,4.14,210.3,153.6
Mountain Dragon,Ancient Forest,Male,28.8,6.1,4.4,252.6,136.8
Mountain Dragon,Ancient Forest,Male,28.8,5.4,4.46,259.1,142.7
Forest Dragon,Northern Peaks,Female,18.8,5.3,4.25,242.2,173.6
Forest Dragon,Northern Peaks,Female,20.1,5.1,4.3,196,188.1
Sea Dragon,Coastal Cliffs,Male,27.4,4.5,4.55,338,126.6
Sea Dragon,Coastal Cliffs,Male,27.3,5,4.38,344.1,81.7
Forest Dragon,Ancient Forest,Female,20.4,5.2,4.02,192.8,171.7
Forest Dragon,Coastal Cliffs,Male,22.8,6.1,4.11,272.9,157.6
Sea Dragon,Coastal Cliffs,Male,26.6,5.2,4.51,326.7,111.2
Mountain Dragon,Ancient Forest,Female,25.9,5.7,4.05,223.4,124.8
Mountain Dragon,Ancient Forest,Female,28.5,5.4,4.2,235.5,145.1
Mountain Dragon,Ancient Forest,Male,29.4,6.1,4.48,292.3,120.7
Forest Dragon,Ancient Forest,Female,21.2,5.3,3.84,208.4,149.6
Sea Dragon,Coastal Cliffs,Male,24.4,5,4.23,325.3,93.6
Mountain Dragon,Ancient Forest,Female,24.7,5.6,4.37,250.9,148.4
Forest Dragon,Northern Peaks,NA,18.6,6.1,4.11,221.5,156.5
Forest Dragon,Northern Peaks,Female,21.3,5.1,4.02,243.9,130.7
Forest Dragon,Ancient Forest,Male,21.4,5.5,4.19,271.6,166.2
Forest Dragon,Ancient Forest,Male,22.7,5.8,4.22,255.9,171.8
Mountain Dragon,Ancient Forest,Female,24.7,4.9,4.17,171.4,146.7
Mountain Dragon,Ancient Forest,Male,29.9,7.5,4.49,275.1,148.2
Forest Dragon,Coastal Cliffs,Female,21.4,6.4,4.07,249.9,134.3
Forest Dragon,Coastal Cliffs,Female,19.5,5.7,4.09,235.6,152.9
Forest Dragon,Coastal Cliffs,Male,20.8,5.6,3.94,249.6,146.1
Forest Dragon,Coastal Cliffs,Male,22.4,6.2,4.28,256,161.6
Forest Dragon,Coastal Cliffs,Male,20.4,5.7,3.84,228.7,127.2
Sea Dragon,Coastal Cliffs,Male,26.8,4.7,4.36,338.2,100.3
Sea Dragon,Coastal Cliffs,Female,23.7,4.8,4.49,288.9,122.4
Forest Dragon,Northern Peaks,Female,21.2,5.2,4.16,212.2,165.4
Mountain Dragon,Ancient Forest,Male,28,6.2,4.32,234.5,116.1
Sea Dragon,Coastal Cliffs,Male,27.6,5.4,4.84,365.7,132.2
Sea Dragon,Coastal Cliffs,Male,26.5,4.8,4.56,353.5,113.6
Mountain Dragon,Ancient Forest,Female,26,5.1,4.2,229.6,146
Forest Dragon,Ancient Forest,Male,22.9,6.7,4.19,265,156.6
Forest Dragon,Ancient Forest,Female,17.2,5.5,3.93,183.4,148.5
Forest Dragon,Ancient Forest,Female,20.6,5.8,4.14,220.2,172
Sea Dragon,Coastal Cliffs,Male,29.4,4.6,4.82,360.1,126.3
Forest Dragon,Coastal Cliffs,Male,22.7,6,4.24,236.8,158.7
Sea Dragon,Coastal Cliffs,Female,26.3,4.5,4.3,289.8,105.4
Forest Dragon,Ancient Forest,Female,21.5,5.4,4.14,212.6,160.8
Forest Dragon,Ancient Forest,Female,20,5.5,4.32,223.3,167.2
Mountain Dragon,Ancient Forest,Female,25.7,5.4,4.22,232.9,125.4
Forest Dragon,Coastal Cliffs,Male,22.4,6.6,4.07,279.3,137
Sea Dragon,Coastal Cliffs,Male,26.1,5.1,4.26,320.9,85.6
Forest Dragon,Coastal Cliffs,Female,19.7,5,3.89,198.5,145.5
Mountain Dragon,Ancient Forest,Female,22,5.3,4.07,208.2,103.3
Forest Dragon,Ancient Forest,Female,20.3,5.7,4.13,239.6,140.6
Mountain Dragon,Ancient Forest,Female,23.7,5.4,3.92,226.3,112.5
Sea Dragon,Coastal Cliffs,Male,27.7,4.9,4.32,342.7,93.2
Forest Dragon,Ancient Forest,Female,22,4.8,4.15,215.9,150.6
Forest Dragon,Ancient Forest,Female,19.4,5.7,4.3,219,175.5
Forest Dragon,Northern Peaks,NA,20.6,5.1,3.99,209.9,155.9
Forest Dragon,Ancient Forest,Female,18.3,4.9,4.01,214.8,158.1
Sea Dragon,Coastal Cliffs,Female,26.6,4.5,4.22,312,85.4
Forest Dragon,Coastal Cliffs,Male,22.3,5.6,4.21,248.3,167.4
Forest Dragon,Northern Peaks,Male,18.8,7,4.14,278.2,152.7
Sea Dragon,Coastal Cliffs,Male,27.8,5.6,4.63,351.1,113.1
Sea Dragon,Coastal Cliffs,Female,23.3,4.4,4.32,294.6,100.5
Sea Dragon,Coastal Cliffs,Male,25.3,4.8,4.44,335,92.7
Sea Dragon,Coastal Cliffs,Male,27.2,5,4.63,336.6,117.3
Sea Dragon,Coastal Cliffs,Female,23.5,4.4,4.18,296.1,85.9
Forest Dragon,Coastal Cliffs,Female,21.2,4.7,3.94,197.3,143.7
Forest Dragon,Coastal Cliffs,Female,19.3,6,4.02,182.6,158.5
Sea Dragon,Coastal Cliffs,Female,26,4.7,4.49,313.6,126.7
Forest Dragon,Ancient Forest,Male,23.3,5.5,4.54,275.9,170.8
Forest Dragon,Ancient Forest,Male,20.3,6.7,3.98,289.8,127.7
Mountain Dragon,Ancient Forest,Female,27.3,6,4.32,239.1,127.7
Mountain Dragon,Ancient Forest,Female,24.7,5.7,3.83,205.5,110.9
Forest Dragon,Coastal Cliffs,Female,21.8,5.6,4.22,185.8,168.3
Sea Dragon,Coastal Cliffs,Male,28.6,5.2,4.56,371.5,109.5
Sea Dragon,Coastal Cliffs,Male,27.4,4.5,4.18,306.3,90.9
Sea Dragon,Coastal Cliffs,Male,27.7,4.5,4.69,360.2,113.7
Sea Dragon,Coastal Cliffs,Female,24.8,4.9,4.24,268.7,125.7
Forest Dragon,Coastal Cliffs,Female,21.5,5.4,3.77,218.2,128.5
Forest Dragon,Northern Peaks,Male,23.1,5.1,4.26,269.1,172.1
Sea Dragon,Coastal Cliffs,Male,27.7,4.7,4.59,405.1,104.1
Mountain Dragon,Ancient Forest,Male,26.9,6.4,4.43,254.2,151.9
Mountain Dragon,Ancient Forest,Female,25.4,5.4,4.01,233.5,126.1
Sea Dragon,Coastal Cliffs,Male,25.2,4.6,4.44,325.1,97.5
Mountain Dragon,Ancient Forest,Female,26.4,5.2,4.2,247.9,118
Sea Dragon,Coastal Cliffs,Female,26.7,4.5,4.4,298,126.1
Sea Dragon,Coastal Cliffs,Male,24.8,5.4,4.59,378.2,105.8
Forest Dragon,Ancient Forest,Female,19.8,5.1,4.13,223.6,147.9
Sea Dragon,Coastal Cliffs,Male,26.7,5.4,4.27,349.3,93.3
Mountain Dragon,Ancient Forest,Female,24.1,5.6,4.28,210.3,158.2
Forest Dragon,Coastal Cliffs,Male,20.1,6.5,4.09,268.5,155.4
Sea Dragon,Coastal Cliffs,Female,25.5,4.6,4.2,265.4,110.7
Forest Dragon,Northern Peaks,Female,20.1,5.5,4.08,225.9,130.2
Sea Dragon,Coastal Cliffs,NA,25.6,4.1,4.43,260.9,128.5
Forest Dragon,Ancient Forest,Female,21,5.3,4.01,221,155.3
Forest Dragon,Ancient Forest,Male,22,5.5,4.07,235.8,156.4
Sea Dragon,Coastal Cliffs,NA,24.3,5.1,4.36,314.4,116.9
Forest Dragon,Northern Peaks,Male,23.4,5.6,4.66,261.4,194.8
Sea Dragon,Coastal Cliffs,Male,26.5,5.4,4.45,361.7,108.3
Forest Dragon,Northern Peaks,Male,21.1,5.3,3.96,251.6,156.1
Forest Dragon,Ancient Forest,Female,20,5.3,3.99,199.9,150.8
Sea Dragon,Coastal Cliffs,Male,26.5,5.4,4.47,353,99.4
Sea Dragon,Coastal Cliffs,NA,25.9,4.4,4.12,299.9,93.8
Forest Dragon,Northern Peaks,Female,19.9,5.5,4.01,232.9,148.9
Forest Dragon,Coastal Cliffs,Male,24.9,6.4,4.17,295,149.6
Mountain Dragon,Ancient Forest,Male,27.7,5.5,4.38,258.4,136.2
Forest Dragon,Ancient Forest,Female,20.6,5.7,4.1,214.4,149.4
Forest Dragon,Northern Peaks,Female,22.7,5.3,4.18,233.2,153
Forest Dragon,Ancient Forest,Male,20.6,6,3.94,249.7,150.6
Sea Dragon,Coastal Cliffs,Female,27,4.7,4.52,330,110.2
Mountain Dragon,Ancient Forest,Male,26.6,6.5,4.5,246.5,154.9
Mountain Dragon,Ancient Forest,Female,28,5.7,4.39,217.5,147.6
Sea Dragon,Coastal Cliffs,Female,25.5,4.5,4.13,267.3,98.9
Forest Dragon,Northern Peaks,Female,19.9,6,4.06,196.1,146.1
Forest Dragon,Ancient Forest,Female,20.1,6.6,4.06,209.1,168
Forest Dragon,Northern Peaks,Female,21.1,5,3.81,217.5,128.8
Forest Dragon,Coastal Cliffs,Female,20.8,5.1,3.99,183.9,151.6
Forest Dragon,Northern Peaks,Male,23.4,5.9,4.29,284.1,163.9
Sea Dragon,Coastal Cliffs,Female,24,4.5,4.45,279.7,118
Forest Dragon,Northern Peaks,Male,20.1,7.3,4.39,241.6,174.7
Sea Dragon,Coastal Cliffs,Female,23.7,4.4,4.16,290.2,95.1
Sea Dragon,Coastal Cliffs,Female,24.2,3.7,4.32,321.1,106.8
Forest Dragon,Northern Peaks,Female,21.1,5.1,4.18,215.8,171.6
Forest Dragon,Coastal Cliffs,Male,21.3,6,3.99,225.8,144.4
Sea Dragon,Coastal Cliffs,Male,25.8,4.9,4.28,351.5,93.3
Sea Dragon,Coastal Cliffs,Female,23.1,4.2,4.36,296.3,94.5
Forest Dragon,Northern Peaks,Female,21.2,5.1,3.92,231.1,147
Mountain Dragon,Ancient Forest,Female,24.5,6,4.1,227.5,112.1
Sea Dragon,Coastal Cliffs,Male,26.9,5.1,4.37,337.2,105.8
Forest Dragon,Coastal Cliffs,Female,22,5.5,4.06,203.9,161.9
Sea Dragon,Coastal Cliffs,Male,26.6,4.8,4.45,356.7,127.3
