"session_id","time_start","browser","ip_address","time_end","q1_flying_speed","q2_weight_speed","q3_wingspan","q4_wingspan_speed_single","q5_wingspan_speed_all","q6_claw_wingspan","time_q_q1_flying_speed","time_q_q2_weight_speed","time_q_q3_wingspan","time_q_q4_wingspan_speed_single","time_q_q5_wingspan_speed_all","time_q_q6_claw_wingspan","time_p_welcome","time_p_questions","time_p_end","current_page","q5_claw_wingspan","time_q_q5_claw_wingspan"
"0f6526f21d87ffc0de44db1d37dd19ab","2026-06-16 23:28:03 UTC","Chrome v149, Windows","127.0.0.1","","","","","",,,"","","","",,,"2026-06-16 23:28:03 UTC","","","",,
"731d667c21b62ec394d78abaefd5533b","2026-06-16 23:42:47 UTC","Chrome v149, Windows","127.0.0.1","2026-06-17 00:18:09 UTC","","","","",,,"","","","",,,"2026-06-16 23:42:47 UTC","","","",,
"7272c8d1e2b5cb5e83b676d484bcf13d","2026-06-16 23:56:20 UTC","Chrome v149, Windows","127.0.0.1","2026-06-17 00:18:07 UTC","","","","",,,"","","","",,,"2026-06-16 23:56:20 UTC","","","",,
"546a42859e2ed7f3ce3bb19483e368d5","2026-06-17 00:25:39 UTC","Chrome v149, Windows","127.0.0.1","2026-06-17 00:27:45 UTC","","","","",,,"","","","",,,"2026-06-17 00:25:39 UTC","","","",,
"0438e387e8a2673a964c431825c18198","2026-06-17 18:52:44 UTC","Chrome v149, Windows","127.0.0.1","2026-06-17 20:03:54 UTC","","","","",,,"","","","",,,"2026-06-17 18:52:44 UTC","2026-06-17 18:52:50 UTC","","questions",,
"152b7a92d435ecd9d6a17120cc99686d","2026-06-18 14:20:09 UTC","Chrome v149, Windows","127.0.0.1","2026-06-18 14:46:32 UTC","","","","",,,"","","","",,,"2026-06-18 14:20:09 UTC","","","",,
"904ae6a511c7071ce16a1bf48c878aa4","2026-06-18 14:47:02 UTC","Chrome v149, Windows","127.0.0.1","2026-06-18 14:49:00 UTC","mountain","negative","sea","",,,"2026-06-18 14:48:03 UTC","2026-06-18 14:48:05 UTC","2026-06-18 14:48:06 UTC","",,,"2026-06-18 14:47:02 UTC","2026-06-18 14:48:02 UTC","","questions",,
"2bb4310627844521c80d7f084242fce7","2026-06-18 14:49:03 UTC","Chrome v149, Windows","127.0.0.1","2026-06-18 14:49:16 UTC","","","","",,,"","","","",,,"2026-06-18 14:49:03 UTC","","","",,
"243e531e224f6cd77b200e19f0497914","2026-06-18 14:55:45 UTC","Chrome v149, Windows","127.0.0.1","2026-06-18 15:08:01 UTC","","","","",,,"","","","",,,"2026-06-18 14:55:45 UTC","2026-06-18 15:04:26 UTC","","questions",,
"fbfb083b398a3000182056c9cdb33255","2026-06-18 15:08:03 UTC","Chrome v149, Windows","127.0.0.1","","","","","",,,"","","","",,,"2026-06-18 15:08:03 UTC","2026-06-18 15:08:15 UTC","","questions",,
"4f29c3cb2c100467d0edbb3982d676cb","2026-06-18 15:12:57 UTC","Chrome v149, Windows","127.0.0.1","2026-06-18 15:48:21 UTC","","negative","","",,,"","2026-06-18 15:15:26 UTC","","",,,"2026-06-18 15:12:57 UTC","2026-06-18 15:13:38 UTC","","questions",,
"3183d77646f8a91838bbf9a6f420dd13","2026-06-18 15:48:23 UTC","Chrome v149, Windows","127.0.0.1","2026-06-18 15:56:19 UTC","","","","",,,"","","","",,,"2026-06-18 15:48:23 UTC","2026-06-18 15:48:26 UTC","2026-06-18 15:56:10 UTC","end",,
"1ab34b5f39e0487b783fa1629ebfd62b","2026-06-18 19:55:07 UTC","Chrome v149, Windows","127.0.0.1","","","","","",,,"","","","",,,"2026-06-18 19:55:07 UTC","","","",,
"9915406b9bb4ca44adcc70f80457dc76","2026-06-18 21:50:18 UTC","Chrome v149, Windows","127.0.0.1","","","","","",,,"","","","",,,"2026-06-18 21:50:18 UTC","","","",,
"b832722ad92fde4f4cef3d4bba6d0103","2026-06-18 22:10:36 UTC","Chrome v149, Windows","127.0.0.1","2026-06-18 22:12:10 UTC","","","","",,,"","","","",,,"2026-06-18 22:10:36 UTC","2026-06-18 22:11:16 UTC","","questions",,
"83a7c7b8c2d6d8d9c9bb6bcef03245ec","2026-06-18 22:12:08 UTC","Chrome v149, Windows","127.0.0.1","","","","","",,,"","","","",,,"2026-06-18 22:12:08 UTC","2026-06-18 22:12:12 UTC","","questions",,
"2320943b5f1b0d13f3f10d7267b7bae5","2026-06-18 22:13:03 UTC","Chrome v149, Windows","127.0.0.1","2026-06-18 22:13:27 UTC","","","","",,,"","","","",,,"2026-06-18 22:13:03 UTC","","","",,
"0577039a0b0c64d1aaf6d4d2ac6b94bd","2026-06-18 22:14:01 UTC","Chrome v149, Windows","127.0.0.1","","","","","",,,"","","","",,,"2026-06-18 22:14:01 UTC","2026-06-18 22:14:07 UTC","","questions",,
