varietal,growing_region,certification,farm_size_ha,tree_age_years,altitude_m,yield_kg_per_ha,price_per_kg_usd
Catuai,Central,Conventional,14.4,17.5,1306,907,15.13
Bourbon,North,Organic,10.4,12.6,1043,1528,4.52
Typica,North,Organic,3.6,6.3,1482,1783,3.44
Bourbon,South,Organic,13.8,16.2,1037,1270,6.75
Bourbon,Central,Organic,8.6,11.1,983,1456,4.72
Bourbon,North,Conventional,12.9,13.4,1143,1417,4.6
Gesha,Central,Organic,12.8,14.6,1642,1069,12.84
Caturra,South,Conventional,17.7,18.3,1258,1096,10.68
Typica,Central,Organic,18.2,18.1,1273,920,14.24
Caturra,South,Organic,9.4,12.7,1259,1579,5.21
Catuai,North,Organic,8.6,13.1,1430,1275,10.15
Typica,North,Conventional,2.2,6.3,1344,1662,4.88
Caturra,North,Conventional,13.9,17.2,1223,1383,8.49
Typica,North,Organic,12.6,18,1277,1279,11.15
Catuai,North,Organic,8.5,9.2,1424,1435,10.26
Typica,Central,Conventional,16,18.7,1453,1128,10.65
Gesha,South,Organic,16.4,20.6,1630,871,15.31
Gesha,Central,Organic,6.8,9.9,1768,1463,8.81
Catuai,South,Conventional,14.8,15.8,1487,1027,12.77
Catuai,Central,Organic,14.3,17.5,1476,1055,12.62
Caturra,Central,Organic,13.7,17.1,1198,1408,8.88
Catuai,Central,Organic,14.8,13.9,1315,987,14.66
Caturra,Central,Conventional,13.7,14.4,1057,1253,10.51
Typica,North,Conventional,18.5,19.7,1265,916,14.18
Caturra,North,Conventional,17,19.2,1218,1291,9.63
Catuai,Central,Organic,12.2,12.9,1382,976,12.77
Caturra,North,Organic,5.9,8.6,1223,1834,4.09
Typica,North,Conventional,14.9,18.1,1316,1161,11.64
Catuai,South,Conventional,12.6,16.5,1489,1220,11.41
Typica,Central,Organic,14.7,19.2,1355,1074,11.28
Typica,Central,Organic,7.8,9.1,1305,1424,8.16
Catuai,South,Conventional,10.1,15.9,1545,1322,9.76
Caturra,South,Conventional,17.4,20.7,1344,1264,8.64
Typica,South,Conventional,16.9,18.4,1325,1089,12.19
Catuai,South,Organic,18,20.2,1448,838,15.43
Bourbon,South,Organic,10.1,12.7,975,1504,5.49
Typica,Central,Organic,10.2,12.6,1396,1424,8.4
Gesha,South,Conventional,14,17.4,1628,1020,13.66
Typica,North,Organic,11.3,14.6,1419,1419,8.52
Gesha,Central,Organic,11.6,13.8,1549,1015,13.65
Typica,North,Organic,9,10.7,1357,1381,8.4
Catuai,Central,Organic,11.7,13.9,1414,1121,12.77
Typica,North,Organic,15.4,17.6,1502,1238,9.64
Gesha,Central,Organic,15.2,17.8,1603,795,15.27
Gesha,South,Organic,14,14.9,1604,956,14.11
Typica,South,Conventional,14.8,17.9,1340,1173,11.9
Gesha,South,Conventional,17.7,18.7,1525,587,17.59
Typica,South,Organic,18.7,20,1274,862,14.84
Bourbon,North,Organic,14.4,14.8,1092,1264,7.16
Gesha,South,Organic,11.3,14.9,1626,1147,12.68
Gesha,North,Organic,13.5,14.6,1652,1031,14.08
Catuai,Central,Conventional,14.7,14.4,1487,1081,13.2
Gesha,Central,Conventional,18.6,20.3,1598,795,16.81
Bourbon,North,Conventional,13.7,15.6,951,1279,7.96
Catuai,North,Organic,8.5,9.8,1495,1399,9.43
Catuai,Central,Organic,11.1,13.6,1289,1071,13.04
Typica,South,Conventional,14.9,16.3,1366,1206,11.46
Bourbon,South,Organic,10.6,14.4,1109,1545,4.2
Gesha,Central,Organic,12.3,16,1641,1099,12.73
Caturra,South,Conventional,16.2,18,1264,1302,9.38
Gesha,North,Conventional,12.9,13.7,1600,1075,13.76
Caturra,North,Conventional,15.5,17.5,1201,1159,9.32
Catuai,Central,Conventional,14.2,16,1564,1222,11.66
Catuai,South,Conventional,10.1,11.5,1493,1300,10.03
Bourbon,Central,Organic,15.9,17.6,1105,1190,7.28
Caturra,South,Conventional,15.4,17.2,1325,1307,8.49
Catuai,Central,Organic,13.1,16.1,1572,1233,10.73
Bourbon,Central,Conventional,15.1,16.3,990,1253,7.51
Typica,Central,Organic,11.4,14,1333,1260,9.5
Caturra,North,Conventional,13,14.3,1022,943,10.53
Gesha,Central,Conventional,13.7,17.1,1517,890,15.32
Gesha,South,Conventional,11.1,12.8,1634,1265,12.33
Caturra,North,Conventional,8.8,11.3,1063,1318,7.74
Caturra,South,Conventional,21.7,20.8,1184,1030,12.91
Caturra,Central,Organic,11,12.9,1145,1474,7.74
Catuai,North,Organic,10.8,12.1,1545,1503,9.62
Catuai,South,Organic,13.5,15.9,1500,1102,11.57
Typica,Central,Conventional,16,17.3,1334,1151,11.95
Bourbon,North,Conventional,15,16.9,1035,1202,7.66
Bourbon,Central,Organic,11.4,13.1,997,1385,6.09
Catuai,North,Organic,14,18.3,1419,1069,13.44
Typica,Central,Conventional,15.8,17.6,1340,989,12.26
Bourbon,North,Conventional,7.3,9.2,1011,1636,3.47
Caturra,Central,Conventional,10.2,12.2,1355,1514,4.94
Caturra,Central,Organic,13.6,13.8,1228,1325,8.18
Caturra,South,Conventional,13.7,13.5,1161,1285,9.2
Bourbon,South,Conventional,15.5,18.6,1115,1304,6.99
Caturra,South,Conventional,12,13.3,1195,1290,8.55
Catuai,South,Organic,10.7,13.1,1553,1309,9.79
Typica,South,Organic,13,13.7,1264,1094,11.44
Typica,Central,Organic,18.4,21.3,1346,1040,12.91
Catuai,South,Conventional,10.3,14.4,1557,1453,9.83
Bourbon,South,Organic,9.1,12.8,992,1418,4.8
Typica,South,Organic,13.8,15.4,1210,1073,12.2
Bourbon,North,Organic,9.8,13.9,1154,1721,3.14
Bourbon,South,Conventional,14.1,15.7,1094,1233,6.87
Caturra,North,Organic,16.3,17.6,1205,1135,9.88
Bourbon,South,Conventional,13.8,16.8,965,1170,8.02
Gesha,North,Conventional,9.1,11.6,1594,1209,11.53
Caturra,North,Conventional,15.9,17.2,1217,1134,9.82
Caturra,North,Conventional,12,15.7,1257,1502,6.9
Catuai,North,Organic,21.3,20.7,1568,816,15.47
Catuai,South,Conventional,14.3,14,1580,1203,11.95
Gesha,North,Conventional,16.4,20,1612,827,15.32
Typica,Central,Organic,13.3,14.9,1290,1109,11.22
Catuai,Central,Organic,13.5,15.8,1451,993,12.71
Catuai,North,Conventional,10.3,14.3,1499,1325,10.87
Typica,North,Conventional,16.4,18.9,1462,1281,10.96
Catuai,North,Conventional,8.8,12.6,1573,1506,8.27
Catuai,North,Conventional,14.4,16.9,1372,934,14.03
Gesha,North,Organic,13.1,14.4,1686,1015,13.3
Gesha,Central,Conventional,15.4,16.5,1541,654,15.99
Bourbon,South,Organic,12,13.9,1034,1429,5.98
Caturra,North,Conventional,14.8,15.5,1302,1305,8.33
Catuai,North,Conventional,15,16.2,1393,929,14.79
Bourbon,South,Conventional,13.4,14.4,1024,1321,6.3
Catuai,North,Conventional,11.6,13.9,1430,1189,11.76
Catuai,South,Conventional,11.3,11.4,1424,1178,11.86
Bourbon,South,Conventional,9.3,11.1,1193,1740,2.77
Gesha,South,Conventional,14.5,15.7,1587,915,14.63
Caturra,South,Organic,23.3,24.4,1214,881,13.84
Bourbon,South,Organic,13.5,16.4,1166,1418,5.21
Gesha,North,Conventional,9.4,10.5,1585,1249,11.97
Gesha,North,Conventional,13,15.3,1623,1098,13.28
Caturra,South,Organic,16.1,17.2,1319,1265,8.74
Gesha,Central,Organic,15.3,19.4,1648,872,14.65
Bourbon,North,Conventional,15.2,18.1,1099,1187,6.72
Caturra,South,Organic,9,11.8,1188,1518,6.34
Typica,Central,Conventional,13.6,14.1,1409,1092,10.16
Catuai,North,Organic,10,13.1,1595,1451,9.42
Typica,Central,Conventional,14.3,16.7,1367,1197,10.66
Gesha,South,Conventional,11,14,1589,1206,12.86
Caturra,Central,Organic,12.2,14.2,1300,1419,6.54
Typica,Central,Conventional,9.8,13.1,1430,1577,6.9
Gesha,Central,Conventional,9.3,14.4,1642,1326,11.05
Gesha,Central,Organic,8,13.6,1490,1280,11.98
Bourbon,Central,Conventional,13.9,14.2,1087,1456,6.41
Gesha,Central,Organic,12.1,17.3,1629,1090,12.92
Typica,Central,Conventional,17.3,16.4,1482,1085,11.28
Bourbon,North,Organic,11.1,12.5,1085,1527,4.58
Catuai,Central,Conventional,11.1,13.2,1463,1195,10.58
Gesha,Central,Organic,13.1,14.7,1647,1045,13.49
Caturra,Central,Organic,11,12.6,1181,1364,7.45
Catuai,South,Conventional,11.9,17.4,1389,1222,12.6
Bourbon,North,Conventional,12.7,14.2,964,1063,7.71
Catuai,Central,Organic,14.9,16.2,1568,1152,11.88
Gesha,North,Organic,14.8,15.6,1625,958,14.29
Caturra,Central,Conventional,12.7,14.4,1241,1571,7.05
Caturra,Central,Organic,11.9,15.5,1320,1514,6.39
Caturra,South,Organic,15.1,16.5,1175,1307,9.95
Bourbon,North,Conventional,16,18.5,1124,1198,6.75
Typica,Central,Conventional,8.1,9.1,1173,1428,9.66
Gesha,Central,Conventional,17.9,21.6,1496,690,17.51
Bourbon,Central,Conventional,10.2,12,1102,1726,3.45
Typica,North,Organic,15.4,17.7,1265,992,13.13
Gesha,North,Conventional,14.2,18.7,1642,1055,14.24
Bourbon,Central,Organic,10.9,11.9,1061,1451,4.79
Gesha,South,Conventional,11.7,15.1,1596,989,12.81
Typica,South,Organic,10,13.4,1406,1529,7.93
Caturra,South,Conventional,12.2,13.4,1155,1416,8.33
Gesha,North,Organic,11,13.4,1555,1063,12.83
Bourbon,North,Organic,11,13.2,1123,1531,4.19
Catuai,North,Conventional,19.1,19.3,1425,775,15.98
Typica,South,Conventional,24.2,23.9,1372,826,15.9
Catuai,South,Organic,12.4,13.3,1507,1243,12.06
Caturra,Central,Organic,9.4,11.1,1109,1380,7.28
Typica,Central,Conventional,11,15.6,1360,1344,8.85
Gesha,North,Organic,19.3,23,1586,675,17.39
Bourbon,North,Conventional,12,14.9,1186,1641,4.11
Gesha,South,Conventional,13.6,12.4,1540,904,14.92
Catuai,Central,Conventional,13.8,15.4,1501,1124,12.02
Bourbon,South,Organic,14,13.3,1111,1330,5.43
Bourbon,South,Conventional,9.9,12.6,1256,1746,1.87
Gesha,Central,Conventional,17.4,18.5,1611,645,16.41
Caturra,North,Organic,13.5,14.7,1223,1317,8.68
Bourbon,Central,Conventional,14.3,15.2,1190,1261,5.21
Catuai,South,Organic,15.2,18.6,1537,1089,12.92
Typica,North,Organic,19.2,19.5,1400,816,13.34
Typica,Central,Conventional,16.2,18.7,1320,1065,12.55
Bourbon,North,Organic,10.8,11.6,1064,1451,4.82
Catuai,South,Conventional,15,16.8,1472,1160,13.13
Caturra,North,Organic,13,15.8,1171,1211,8.3
Caturra,South,Organic,11,17,1195,1516,7.31
Gesha,South,Conventional,9.4,9.2,1798,1440,9.05
Bourbon,South,Conventional,12.1,14.5,978,1283,6.5
Caturra,Central,Organic,13.6,13.7,1164,1226,9.08
Bourbon,South,Organic,11.3,10.9,1092,1512,4.51
Gesha,North,Organic,14.5,19.2,1565,896,15.22
Typica,North,Conventional,12.1,15.3,1235,1040,11.92
Typica,North,Organic,14.2,15.4,1528,1404,8.93
Caturra,Central,Conventional,17.4,18.8,1341,1213,9.35
Gesha,North,Organic,13.1,17.1,1668,1144,13.42
Catuai,South,Organic,7.4,15.3,1337,1340,10.96
Gesha,South,Organic,14.7,17.9,1578,938,14.63
Gesha,North,Organic,16.4,18.1,1580,806,15.86
Gesha,South,Conventional,10.4,12.9,1524,1053,13.02
Caturra,South,Conventional,9.9,14.6,1278,1512,5.08
Typica,Central,Organic,9.8,11,1332,1476,8.56
Bourbon,North,Conventional,12.8,16,1144,1456,4.98
Bourbon,South,Conventional,18.5,20.8,921,933,10.85
Typica,South,Organic,12.9,14.8,1230,1046,12.14
Gesha,North,Organic,14.4,17.2,1695,1091,13.3
Bourbon,North,Conventional,9.6,13.7,1122,1645,3.14
Typica,South,Conventional,15.1,19,1290,983,12.24
Bourbon,South,Organic,5.7,7.5,1099,1786,1.59
Catuai,South,Conventional,9.3,13.1,1556,1550,8.85
Bourbon,South,Organic,13.5,17.4,1002,1284,6.32
Typica,South,Organic,9.6,11.7,1396,1395,7.83
Caturra,Central,Conventional,17.2,22.2,1171,1130,10.93
Catuai,Central,Conventional,12.5,11.6,1469,1198,12.03
Catuai,Central,Conventional,10.5,12.4,1446,1299,10.68
Caturra,South,Conventional,12.5,14.9,1096,1230,8.98
Typica,Central,Organic,16.4,18.8,1499,1451,10.13
Catuai,Central,Conventional,12.7,14.6,1477,1227,12.48
Typica,Central,Conventional,10.2,13.6,1474,1634,7.81
Catuai,Central,Conventional,17,19,1465,877,14.23
Gesha,North,Organic,15.1,17.5,1557,866,15.6
Gesha,North,Organic,13,13.5,1573,1108,14.14
Bourbon,North,Conventional,5.7,9.5,1140,1813,1.09
Gesha,South,Conventional,11.6,13.3,1661,1014,12.17
Gesha,North,Conventional,15,17.8,1644,982,14.04
Typica,South,Conventional,17,15.3,1253,986,13.75
Caturra,South,Organic,9.8,10.4,1341,1610,4.78
Gesha,Central,Organic,12.1,13.1,1521,1083,14.27
Gesha,North,Conventional,12.8,16,1613,1139,13.45
Caturra,Central,Conventional,9.7,13.8,1235,1477,6.16
Typica,North,Conventional,17.2,19.7,1493,1175,11.26
Gesha,South,Conventional,9.7,11.2,1464,1032,14.04
Caturra,North,Conventional,11.6,15,1160,1371,8.54
Gesha,North,Conventional,6.5,7.7,1632,1442,9.08
Gesha,Central,Conventional,8.2,10.4,1672,1409,9.88
Typica,North,Organic,7.6,8.8,1380,1590,6.95
Bourbon,Central,Organic,12.8,14.9,1120,1617,5.1
Catuai,South,Conventional,18.1,16.3,1578,869,13.49
Caturra,South,Conventional,14.2,14.7,1307,1481,6.98
Gesha,South,Conventional,14.4,15.1,1645,985,13.71
Bourbon,North,Organic,9.9,12.4,1120,1550,3.77
Caturra,North,Organic,20,19.9,1182,1014,12.12
Bourbon,North,Conventional,11.2,16.3,940,1428,6.61
Gesha,North,Conventional,5.1,8.5,1724,1599,7.83
Bourbon,Central,Conventional,6.8,9.6,1049,1675,2.25
Typica,South,Organic,7.8,9.5,1339,1463,7.48
Typica,South,Conventional,15.6,19.9,1259,957,12.88
Caturra,South,Conventional,9.9,13.9,1297,1668,5.47
Bourbon,North,Conventional,17.7,21.4,1120,1069,8.15
Bourbon,Central,Organic,9.7,9.8,1093,1606,3.9
Typica,North,Conventional,20.4,21.4,1374,921,13.9
Caturra,Central,Conventional,8,7.8,1205,1495,5.3
Caturra,South,Conventional,14.6,14.3,1271,1461,8.3
Bourbon,South,Conventional,17.1,18.4,1082,1188,8.04
Catuai,Central,Organic,14.6,17.1,1447,996,13.31
Caturra,South,Conventional,9.1,8.1,1188,1464,6.2
Typica,Central,Conventional,11.8,13.4,1308,1326,9.76
Catuai,Central,Conventional,15.1,17.1,1505,1041,13.07
Catuai,North,Organic,18.4,19.8,1480,847,15.05
Bourbon,South,Conventional,15.2,16.9,1186,1480,6.26
Typica,South,Conventional,9.3,11.4,1440,1512,7.46
Catuai,South,Conventional,6.5,11.4,1411,1410,9.59
Catuai,Central,Conventional,14.4,16.9,1339,1042,14.05
Gesha,North,Conventional,6.7,9.4,1464,1141,12.17
Caturra,South,Conventional,15.4,17.4,1342,1438,8.19
Bourbon,South,Conventional,10.9,14.1,1064,1454,4
Typica,North,Conventional,13.2,16.1,1313,1252,10.63
Caturra,North,Organic,10.5,9.7,1164,1429,7.14
Gesha,Central,Conventional,12.1,15,1701,1211,12.4
Typica,Central,Conventional,12.9,13.6,1371,1227,9.87
Typica,North,Conventional,17.5,20.2,1483,1347,11.26
Typica,South,Conventional,9.4,12.5,1236,1290,9.62
Caturra,Central,Conventional,11.9,12.8,1196,1507,6.79
Gesha,North,Organic,14.4,18.2,1660,1048,13.54
Typica,South,Conventional,10.1,11.9,1382,1623,8.03
Catuai,North,Conventional,13.8,17,1500,1194,11.56
Caturra,South,Conventional,12.2,14.4,1211,1210,8.19
Catuai,North,Organic,10.7,12.5,1426,1317,11.01
Gesha,Central,Organic,17.2,19.6,1491,571,17.63
Bourbon,South,Organic,12.1,12,1096,1478,5.52
Bourbon,South,Organic,13.5,14.7,1159,1539,5.54
Caturra,North,Organic,13.7,14.9,1165,1231,9.91
Caturra,Central,Organic,17.1,17.2,1151,1090,11.27
Typica,South,Conventional,11.9,10.5,1408,1288,8.96
Caturra,North,Conventional,16.8,16.8,1310,1248,8.73
Bourbon,South,Organic,13.4,14.2,1074,1287,5.89
Gesha,Central,Conventional,11.2,12.8,1553,1194,13.43
Catuai,North,Conventional,17.3,19.8,1559,1085,13.5
Catuai,South,Conventional,13.3,17.5,1492,1126,12.08
Catuai,Central,Organic,10.9,15.3,1527,1363,10.12
Gesha,North,Organic,6.4,10.3,1624,1476,9.29
Catuai,South,Organic,9.8,11.4,1466,1312,10.8
Catuai,South,Organic,17.6,21,1533,955,13.96
Bourbon,South,Organic,13.2,15.8,1050,1404,6.52
Caturra,North,Conventional,12.4,15.8,1307,1484,6.77
Gesha,Central,Conventional,12,12.5,1443,966,15.62
Caturra,Central,Conventional,9.2,12.3,1258,1539,5.43
Catuai,Central,Conventional,5.9,8.2,1461,1561,7.93
Caturra,South,Conventional,12.3,15.7,1166,1315,8.5
Bourbon,Central,Conventional,16.1,18.7,1084,1272,7.9
Bourbon,South,Conventional,11,15.1,1090,1483,4.75
Typica,North,Organic,15.9,18.4,1296,1195,12.31
Caturra,North,Conventional,13.7,16,1269,1402,7.73
Gesha,South,Conventional,8.1,9.4,1511,1100,11.77
Bourbon,North,Organic,12.7,14.2,934,1220,7.53
Gesha,North,Organic,12.1,13.3,1657,1036,12.65
Caturra,Central,Organic,13.6,13.2,1296,1342,7.77
Typica,South,Conventional,12.3,15.5,1332,1250,10.06
Caturra,South,Conventional,10.8,11.2,1134,1412,7.73
Gesha,North,Conventional,11.8,14.4,1593,1173,13.21
Gesha,South,Conventional,12.7,16.6,1658,1011,12.82
Bourbon,North,Conventional,14.1,16.5,1091,1331,6.3
Bourbon,North,Conventional,11.9,16.2,1106,1568,5.01
Catuai,North,Conventional,10.3,14.7,1489,1184,10
Gesha,Central,Conventional,18.1,16.8,1751,1044,14.69
Bourbon,North,Organic,13.6,15.5,1107,1343,5.89
Bourbon,North,Organic,9.4,11.7,1076,1581,4.12
Catuai,South,Conventional,15.2,15.8,1440,1004,13.9
Gesha,Central,Organic,13,14.8,1656,1029,13.1
Typica,North,Conventional,10.1,10.2,1427,1465,7.7
Gesha,South,Conventional,13.6,16.6,1532,1023,14.68
Catuai,South,Conventional,13.5,15.9,1600,1300,10.78
Catuai,Central,Conventional,4.8,6.9,1459,1554,7.43
Gesha,North,Conventional,13.1,16.3,1447,833,15.69
Catuai,South,Conventional,10.5,12.6,1547,1398,10.04
Catuai,South,Conventional,17.8,19.1,1519,941,14.11
Bourbon,Central,Conventional,15.4,16.2,1070,1357,7.15
Bourbon,Central,Organic,8.6,11.2,1051,1655,3.45
Caturra,North,Conventional,12.4,13.7,1178,1311,8.11
Typica,South,Conventional,6.2,9.1,1497,1674,4.89
Gesha,South,Conventional,10.4,12,1486,1039,13.37
Gesha,North,Conventional,14.2,15.1,1560,909,14.52
Catuai,Central,Conventional,12.3,13.3,1486,1370,11.04
Typica,Central,Organic,15,17.5,1423,1165,10.64
Catuai,Central,Conventional,14.5,15.1,1441,1180,12.75
Bourbon,South,Organic,13.9,16.6,952,1095,7.7
Gesha,Central,Conventional,9.4,13.1,1671,1364,11.12
Caturra,Central,Conventional,9.4,11.6,1233,1551,5.64
Bourbon,Central,Conventional,12.2,16.9,1087,1537,4.72
Caturra,North,Organic,9.9,12.8,1181,1333,6.78
Catuai,North,Organic,12.7,17.5,1407,1146,12.77
Typica,Central,Conventional,18.4,17.7,1361,1073,13.2
Catuai,Central,Conventional,15.9,16.2,1596,1220,12
Catuai,South,Conventional,15.6,17.8,1504,1068,12.58
Caturra,North,Conventional,12.8,14.6,1331,1586,6.32
Typica,Central,Organic,10.3,15,1323,1417,9.19
Bourbon,North,Conventional,11.5,13.7,1215,1654,3.62
Typica,Central,Organic,9.1,12.3,1342,1384,8.03
