varietal,growing_region,certification,farm_size_ha,tree_age_years,altitude_m,yield_kg_per_ha,price_per_kg_usd
Typica,North,Conventional,16.3,18.1,1499,1223,10.76
Gesha,South,Organic,9.7,9.6,1495,1167,12.68
Typica,North,Organic,14.6,17.6,1329,1101,11.81
Bourbon,Central,Conventional,7.3,10.8,1152,1688,1.92
Gesha,South,Conventional,13.1,13.5,1470,885,15.52
Typica,South,Conventional,15.2,16.3,1519,1340,9.33
Gesha,Central,Organic,16.5,16.9,1532,956,16.22
Typica,North,Organic,14.3,17,1280,1131,12.31
Gesha,South,Conventional,16.7,17.9,1523,756,16.94
Typica,Central,Organic,12.1,12,1496,1394,8.08
Bourbon,North,Conventional,11.7,13.9,1235,1564,3.24
Bourbon,South,Organic,13.6,14.3,1140,1381,5.39
Typica,Central,Conventional,12.5,15.6,1267,1234,10.77
Bourbon,North,Organic,13.6,15.8,1253,1596,3.74
Bourbon,Central,Conventional,18.3,16.5,1063,1040,9.7
Typica,North,Organic,11.8,16.4,1344,1274,9.67
Gesha,South,Conventional,13.5,16.1,1569,1020,13.87
Typica,North,Conventional,10.7,13.5,1303,1043,10.07
Gesha,South,Conventional,16.2,16.4,1664,1016,14.96
Gesha,Central,Organic,10.9,13.6,1613,1139,12.64
Bourbon,Central,Organic,15.8,21.5,1126,1321,7.56
Bourbon,South,Conventional,11.4,12.5,1072,1451,5.5
Gesha,South,Organic,12.3,16.9,1512,1099,14.3
Bourbon,South,Conventional,11,14.8,1120,1575,4.34
Gesha,Central,Organic,12.4,14,1689,1162,11.78
Bourbon,South,Conventional,15.2,18.1,1187,1273,6.11
Gesha,South,Conventional,11.1,13.9,1691,1238,11.69
Bourbon,Central,Organic,18.1,20.4,1114,1254,8.3
Bourbon,South,Conventional,16.4,19.5,1087,1373,7.64
Bourbon,North,Organic,8.6,11.4,1140,1581,3.33
Typica,South,Organic,12.6,12.8,1180,1028,12.31
Gesha,Central,Organic,10.2,13.1,1604,1231,11.38
Gesha,Central,Organic,13.8,17,1537,1024,15.06
Bourbon,North,Organic,11.6,12.8,1148,1547,4.63
Typica,South,Organic,14,15.3,1455,1326,10.04
Bourbon,South,Conventional,15.3,19.4,1069,1190,7.7
Bourbon,South,Conventional,13.9,16.7,1094,1318,6.8
Typica,North,Conventional,16,15.5,1414,1176,11.45
Typica,Central,Organic,7.6,8.8,1380,1459,6.99
Bourbon,South,Conventional,17.4,19.9,1044,1147,8.33
Gesha,Central,Organic,11.8,12.5,1638,1134,12.87
Typica,Central,Organic,16.6,17.2,1508,1288,10.39
Gesha,South,Conventional,14,17,1715,1116,12.85
Bourbon,South,Conventional,6.6,9.6,1041,1532,3.4
Typica,South,Conventional,14.4,14.7,1490,1460,9.53
Gesha,North,Organic,16.6,17.9,1624,878,16.03
Typica,North,Organic,13.4,15.1,1595,1505,7.57
Bourbon,South,Conventional,12.6,14.2,1091,1412,6.33
Gesha,North,Conventional,15.8,15.9,1585,1079,15.11
Typica,South,Conventional,4.9,11.1,1429,1740,4.75
Typica,North,Conventional,15.1,16.7,1323,1043,11.86
Bourbon,South,Organic,18,23.8,1067,1034,8.99
Bourbon,South,Conventional,5.7,10.4,988,1771,3.43
Gesha,North,Conventional,20.8,22.5,1641,830,17.25
Gesha,Central,Organic,11.6,11.7,1600,1142,12.88
Bourbon,North,Organic,15.6,20.5,938,982,9.42
Bourbon,North,Conventional,5.7,9.4,943,1521,3.65
Typica,South,Organic,18.2,20.4,1337,895,12.93
Gesha,North,Organic,15.3,18.1,1541,798,15.46
Typica,Central,Organic,6.9,10.7,1344,1521,7.63
Typica,Central,Organic,14.8,19.6,1348,1204,11.24
Typica,South,Organic,15.6,17.6,1389,1116,11.72
Typica,North,Conventional,10.1,12.2,1361,1446,8.67
Bourbon,North,Conventional,7.9,11.3,1144,1676,2.91
Gesha,Central,Conventional,11.5,12.8,1555,1053,13
Bourbon,South,Organic,8.3,11.5,1143,1761,2.58
Bourbon,South,Organic,11.9,14,929,1288,7.26
Typica,Central,Organic,9.5,9.9,1242,1372,10.05
Typica,Central,Organic,13.6,14.7,1417,1305,9.21
Typica,Central,Conventional,7.4,11.3,1426,1738,6.51
Gesha,Central,Conventional,14.7,17.7,1653,1058,13.69
Typica,Central,Conventional,15.2,15.9,1258,950,13.11
Typica,North,Conventional,14.6,16,1366,1169,10.83
Gesha,South,Conventional,18.5,17.8,1645,687,16.96
Bourbon,North,Organic,10.1,14,1134,1684,3.7
Bourbon,South,Conventional,17.3,17.8,1141,1228,7.11
Bourbon,South,Organic,7.3,12.5,1204,1776,1.96
Bourbon,South,Conventional,12.6,14.3,1029,1328,6.51
Typica,South,Conventional,8.9,9.6,1474,1597,6.61
Bourbon,North,Conventional,15,15.4,1136,1216,6.83
Typica,South,Conventional,17.4,20.5,1276,983,13.87
Bourbon,Central,Organic,10.4,11.4,1071,1615,4.58
Typica,Central,Conventional,12.5,15.8,1309,1199,10.67
Bourbon,South,Conventional,16,16.3,1214,1377,6.24
Bourbon,Central,Conventional,13.5,14.2,1122,1350,5.89
Bourbon,North,Conventional,10.2,11.2,1039,1528,4.83
Bourbon,South,Organic,12.5,13,1024,1301,6.77
Typica,North,Conventional,15.5,18.2,1404,1051,11.15
Gesha,North,Conventional,10.4,14.8,1742,1504,9.96
Typica,South,Conventional,9.1,13.5,1460,1587,6.54
Gesha,Central,Conventional,8.9,13.9,1599,1269,11.47
Gesha,Central,Organic,10.8,14.2,1514,1039,13.66
Bourbon,North,Conventional,8.3,11.7,1039,1538,4.25
Gesha,North,Organic,11.4,15.4,1598,1104,12.73
Bourbon,North,Conventional,12.3,13.2,989,1412,6.62
Typica,North,Organic,14.8,15.1,1398,1208,10.61
Gesha,Central,Conventional,11.2,13.2,1453,1036,14.04
Gesha,South,Conventional,10.8,16.3,1513,966,13.45
Bourbon,Central,Conventional,9.9,13.2,1174,1727,3.74
Typica,South,Conventional,14.1,17.4,1391,1195,10.24
Typica,North,Conventional,17.1,21.7,1313,981,13.86
Gesha,South,Organic,17.5,19.9,1516,738,17.52
Typica,Central,Organic,13.2,14.7,1433,1292,9.67
Gesha,North,Conventional,14.5,17.1,1487,866,15.31
Bourbon,South,Conventional,13.6,17.3,1073,1307,6.11
Bourbon,Central,Organic,17.8,17.7,1014,1169,9.15
Gesha,North,Conventional,7.6,10.5,1568,1273,10.74
Gesha,North,Conventional,13.2,18.9,1582,1058,13.95
Typica,South,Organic,7.9,12.5,1281,1495,8.41
Typica,Central,Conventional,15.7,18.1,1271,1104,13.18
Gesha,South,Conventional,12.6,15,1663,1083,13.27
Bourbon,Central,Organic,8.9,14.9,1134,1594,3.35
Gesha,Central,Conventional,10.5,13.6,1663,1276,11.97
Gesha,North,Organic,12.6,11.4,1603,1062,12.85
Typica,South,Organic,10.8,14.3,1386,1291,8.45
Bourbon,South,Conventional,11.9,17.9,1051,1354,5.52
Bourbon,Central,Organic,10.1,11.4,1211,1621,3.13
Gesha,Central,Conventional,17.5,17.1,1555,723,16.59
Gesha,North,Conventional,13.6,14.9,1597,953,14.09
Gesha,South,Organic,10.3,12.9,1564,1006,12.6
Gesha,South,Organic,10,13.1,1664,1223,11.58
Typica,North,Organic,14.9,19.2,1321,1148,11.72
Typica,North,Conventional,11.6,14.7,1452,1470,8.42
Gesha,Central,Organic,17,19.1,1641,1075,14.87
Bourbon,North,Conventional,16.6,19.1,1183,1254,6.92
Gesha,South,Organic,7.9,12.5,1671,1356,10.21
Typica,South,Conventional,5.9,8.4,1395,1618,6.04
Gesha,Central,Conventional,16.2,16.2,1661,989,15.02
Gesha,South,Conventional,9.2,12.4,1469,1087,13.19
Typica,Central,Organic,9.3,13.3,1331,1517,8.62
Gesha,South,Conventional,11,11.9,1597,1054,12.52
Gesha,South,Conventional,7.7,9.9,1475,1178,12.51
Typica,South,Conventional,13,15.2,1380,1344,10.1
Gesha,Central,Organic,16.8,19.2,1597,843,15.83
Bourbon,Central,Conventional,11.7,12.9,1155,1614,3.99
Typica,South,Conventional,14.4,17.5,1283,1154,12.34
Bourbon,North,Organic,11.7,14.6,1135,1504,4.45
Typica,South,Conventional,11.8,15.3,1391,1412,9.64
Bourbon,Central,Conventional,13.3,14.3,1049,1428,6.29
Typica,North,Organic,19,19.6,1216,758,15.74
Gesha,North,Conventional,14.7,14.8,1595,906,14.36
Typica,North,Conventional,13.1,13.8,1227,996,12
Gesha,South,Organic,14.9,15,1556,933,15.48
Bourbon,North,Organic,14,14.8,1104,1385,6.86
Gesha,North,Organic,19.9,22.2,1653,752,16.86
Gesha,Central,Organic,10.1,14.4,1595,1270,12.09
Bourbon,Central,Conventional,7.8,9.9,1063,1575,3.71
Typica,Central,Organic,8.8,11,1481,1552,6.55
Gesha,Central,Conventional,19.8,20.8,1686,801,16.6
Typica,North,Conventional,13,17.3,1428,1283,9.58
Gesha,North,Conventional,18.4,19.9,1591,741,16.81
Typica,North,Conventional,10.9,15,1476,1430,8.26
Bourbon,North,Conventional,9.2,11.2,946,1458,5.11
Gesha,Central,Conventional,14.5,17,1623,838,14.65
Bourbon,North,Conventional,12.2,16,1060,1473,5.17
Bourbon,North,Conventional,7.4,7.9,1094,1596,3.26
Typica,South,Conventional,11.9,16.4,1343,1318,10.12
Gesha,North,Conventional,14.3,17.9,1549,987,14.67
Gesha,Central,Conventional,13.5,15.7,1514,790,15.32
Gesha,South,Conventional,16.6,16.9,1706,995,14.31
Gesha,North,Conventional,10.7,12,1521,1122,12.87
Typica,North,Organic,14.4,15.4,1471,1229,10.38
Typica,South,Organic,9.5,13.3,1449,1517,7.61
Bourbon,South,Conventional,14.5,16,1098,1407,6.92
Gesha,Central,Organic,9.2,13.1,1627,1188,10.97
Gesha,North,Conventional,11.6,13.4,1701,1279,11.09
Bourbon,Central,Organic,15.6,17.1,1136,1357,6.64
Typica,North,Organic,5.4,9.2,1413,1781,5.52
Bourbon,North,Organic,13.5,15.8,1113,1463,5.72
Typica,South,Conventional,6.7,10.2,1380,1568,6.55
Bourbon,North,Conventional,15.8,15.5,975,1204,8.65
Typica,Central,Conventional,15.1,15.9,1309,1074,12.18
Gesha,North,Organic,13.6,13.4,1511,874,15.05
Gesha,South,Conventional,16.9,15.6,1684,828,14.7
Bourbon,South,Conventional,15.2,17.5,1144,1175,6.72
Bourbon,Central,Organic,14.4,16.4,1016,1191,7.96
Typica,Central,Conventional,14.7,16.5,1384,1145,11.32
Bourbon,North,Conventional,14.6,18.7,1065,1313,6.57
Gesha,South,Organic,10.2,12.1,1631,1320,11.4
Bourbon,North,Organic,5.2,9.7,1088,1718,1.34
Typica,South,Organic,8.5,9.7,1372,1623,7.22
Typica,South,Conventional,14.7,17.1,1442,1319,10.53
Gesha,North,Organic,12.2,12.3,1659,1312,12.07
Bourbon,Central,Organic,10.3,14.8,1013,1436,5.11
Bourbon,Central,Conventional,16.8,19.4,1011,1089,9.02
Bourbon,North,Organic,16.1,15.8,954,1143,9.22
Gesha,Central,Conventional,11.5,16.8,1504,1069,14.26
Typica,South,Conventional,13.2,15.7,1256,1139,11.66
Gesha,South,Organic,11.2,13.8,1589,1195,12.93
Bourbon,North,Conventional,14.1,15.3,1005,1287,7.25
Gesha,Central,Organic,6.6,8.4,1607,1252,10.18
Gesha,South,Organic,16.9,21.1,1586,962,15.47
Gesha,South,Conventional,10.7,12.7,1645,1114,12
Gesha,North,Organic,11.3,12.3,1613,1018,12.42
Bourbon,North,Conventional,9.3,11.1,1043,1534,4.6
Gesha,South,Organic,12.1,14.7,1566,1035,13.51
Bourbon,North,Organic,14.3,17.4,997,1194,7.76
Gesha,Central,Organic,11.6,12.8,1629,1168,12.74
Typica,North,Conventional,10.6,12.1,1334,1522,8.73
Typica,Central,Conventional,12,14.7,1473,1356,8.44
Bourbon,South,Conventional,8.1,11.5,1208,1883,1.9
Bourbon,South,Organic,11.6,13.5,1078,1586,4.99
Gesha,Central,Conventional,12.6,15.2,1601,1101,12.94
Typica,North,Organic,12.5,16.7,1336,1285,10.07
Gesha,North,Conventional,13.4,16.8,1511,984,14.88
Typica,North,Organic,17.6,19.6,1524,1113,11.22
Typica,North,Conventional,13.2,14.3,1378,1197,10.1
Typica,Central,Organic,11.3,14.1,1323,1255,10.5
Bourbon,South,Conventional,17.1,18.3,1223,1321,6.26
Typica,Central,Conventional,14.5,13.5,1330,1179,11.67
Typica,South,Conventional,19.6,19.2,1262,783,15.08
Typica,North,Conventional,15,15.7,1351,1157,11.82
Typica,South,Conventional,11.8,14.6,1386,1342,9.2
Bourbon,Central,Organic,9.5,10.2,1037,1591,4.68
Typica,Central,Organic,15.5,19.2,1331,958,12.23
Typica,South,Conventional,19.2,19,1275,846,14.27
Gesha,South,Organic,12.8,14.9,1562,1066,13.89
Gesha,North,Conventional,12.4,14.3,1732,1312,11.53
Gesha,North,Conventional,17.4,19.4,1642,931,15.29
Typica,Central,Conventional,12.7,16.2,1339,1380,10.16
Typica,Central,Conventional,12.2,13.6,1445,1271,9.48
Gesha,South,Organic,15.4,16.4,1679,949,14.1
Typica,South,Conventional,15.7,17.6,1224,1070,13.46
Gesha,South,Conventional,18.3,21.4,1496,731,18.16
Bourbon,North,Conventional,15.9,15.9,1116,1278,7.44
Gesha,North,Organic,13.7,13.8,1574,937,14.24
Typica,North,Organic,11,11.7,1482,1516,8.09
Bourbon,Central,Organic,7.6,10.6,1025,1610,3.65
Bourbon,North,Organic,18.7,21.3,1116,1114,8.99
Typica,Central,Conventional,14.4,14.8,1231,990,12.63
Bourbon,North,Conventional,16.4,17.3,1114,1344,7.26
Typica,North,Conventional,15.2,18.6,1275,1016,12.4
Typica,South,Conventional,7.6,11.1,1352,1473,7.57
Typica,South,Conventional,13.8,16.6,1312,1141,11.94
Gesha,Central,Conventional,19.4,20.6,1542,694,17.63
Bourbon,North,Conventional,14.5,15.1,1156,1460,6.02
Typica,Central,Conventional,18.3,20.1,1399,1078,12.64
Bourbon,Central,Conventional,9.3,9.1,943,1426,5.77
Bourbon,North,Conventional,11.9,16,1017,1552,5.8
Bourbon,South,Conventional,12.8,12,1062,1453,6.19
Gesha,North,Conventional,10.6,12.8,1671,1314,11.19
Gesha,North,Conventional,12.6,14.6,1608,1096,13.36
Bourbon,North,Conventional,13.1,17.9,1150,1566,5.07
Bourbon,North,Organic,14.9,17.9,1064,1354,7.13
Gesha,South,Conventional,12.2,14.3,1708,1064,11.87
Bourbon,North,Organic,10.7,13.5,987,1342,6.21
Bourbon,Central,Conventional,11.3,11.7,1090,1586,4.6
Typica,North,Conventional,17.2,19.4,1321,1127,13.2
Bourbon,North,Organic,11.8,18,1201,1656,4.2
Typica,Central,Organic,18.1,21.2,1428,1106,12.23
Gesha,South,Conventional,13.1,15.4,1624,1056,13.13
Bourbon,South,Organic,8.8,12.3,1027,1447,4.7
Typica,North,Organic,17.2,21,1414,1037,12.46
Typica,South,Organic,11.9,13.9,1266,1253,10.82
Typica,South,Conventional,8.9,9.4,1299,1375,8.7
Typica,South,Organic,16,16.3,1338,1056,12.23
Bourbon,North,Organic,17.9,17.1,1073,1101,8.8
Gesha,North,Conventional,13.7,17.1,1559,1131,13.86
Gesha,North,Conventional,12.8,16.3,1661,1174,13.26
Gesha,North,Organic,14.4,15.5,1413,729,16.91
Typica,North,Conventional,9.8,10.6,1446,1490,7.75
Gesha,North,Organic,18.1,15.9,1642,735,15.67
Bourbon,South,Conventional,17.3,15.3,1004,1192,8.85
Gesha,South,Organic,12.7,12.9,1717,1208,11.73
Bourbon,South,Conventional,8.9,12.7,1225,1718,2.16
Bourbon,South,Conventional,16.2,17.3,1103,1249,7.31
Typica,South,Organic,13.5,17.2,1179,1154,12.06
Typica,Central,Conventional,13.6,15.5,1337,1152,11.04
Typica,Central,Organic,20.1,21.2,1279,791,15.81
Gesha,Central,Conventional,3.5,5.7,1673,1612,6.79
Gesha,South,Organic,16,16.6,1670,872,14.32
Gesha,South,Organic,14.3,15.2,1519,853,14.8
Bourbon,South,Conventional,15.8,17.6,1206,1451,5.62
Gesha,South,Conventional,4.7,9.4,1611,1399,8.84
Gesha,Central,Organic,13.1,14.5,1530,966,14.68
Typica,North,Conventional,12.4,16,1425,1339,9.67
Bourbon,North,Conventional,16,16.2,926,1038,9.47
Bourbon,South,Conventional,16.4,16.6,1014,1182,8.14
Typica,North,Conventional,17.8,18.4,1329,980,13.46
Gesha,North,Conventional,15,17,1762,1012,13.48
Bourbon,Central,Conventional,15.7,13.6,1163,1319,6.6
Gesha,North,Organic,16.5,19.4,1642,1063,14.46
Bourbon,North,Organic,11.2,13.4,1133,1533,4.72
Typica,South,Conventional,9,12.3,1374,1417,7.96
Bourbon,North,Conventional,9.5,13,1229,1713,2.53
Gesha,South,Conventional,7.9,9.7,1520,1297,11.8
Typica,Central,Conventional,7.5,10.4,1242,1484,8.46
Bourbon,Central,Organic,12.1,12,1184,1584,4.37
Bourbon,North,Organic,4.4,7.9,1131,1955,0.97
