"session_id","time_start","browser","ip_address","time_end","penguins","silly_word","time_q_penguins","time_q_silly_word","time_p_welcome","time_p_page2","time_p_end","current_page","silly_word1","time_q_silly_word1","time_p_page0","penguins1","time_q_penguins1","time_p_welcome1","penguins2","penguins4","penguins5","penguins6","time_q_penguins2","time_q_penguins4","time_q_penguins5","time_q_penguins6","penguins3","scatter_color","time_q_penguins3","time_q_scatter_color","education","time_q_education","q0_1","q0_2","q0_3","q0_4","llm_preference","llm_preference_CC","llm_preference_CE","llm_preference_RI","llm_preference_TP","llm_preference_CL","llm_preference_PO","llm_preference_MA","unique_id","q1","q1_reason","q2","q2_reason","q3","q3_reason","q4","q4_reason","q5","q5_reason","q6","q6_reason","time_q_q0_1","time_q_q0_2","time_q_q0_3","time_q_q0_4","time_q_llm_preference","time_q_llm_preference_CC","time_q_llm_preference_CE","time_q_llm_preference_RI","time_q_llm_preference_TP","time_q_llm_preference_CL","time_q_llm_preference_PO","time_q_llm_preference_MA","time_q_unique_id","time_q_q1","time_q_q1_reason","time_q_q2","time_q_q2_reason","time_q_q3","time_q_q3_reason","time_q_q4","time_q_q4_reason","time_q_q5","time_q_q5_reason","time_q_q6","time_q_q6_reason"
"4a187ce9aa17ef26cd70e5ca518d4a3a","2025-09-06 05:58:04 UTC","Chrome v139, Windows","127.0.0.1","","","","","","2025-09-06 05:58:04 UTC","","","",,,"",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f56bd48794fddd0ded868f4f6f047205","2025-09-06 05:58:37 UTC","Chrome v139, Windows","127.0.0.1","","","","","","2025-09-06 05:58:37 UTC","","","",,,"",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"70421e5282f827b4151f39f8ce679484","2025-09-06 06:12:10 UTC","Chrome v139, Windows","127.0.0.1","","","","","","2025-09-06 06:12:10 UTC","","","",,,"",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5ca7ce9eed9343fe6fed6583cdaabe41","2025-09-06 06:15:45 UTC","Chrome v139, Windows","127.0.0.1","2025-09-06 06:16:09 UTC","","","","","2025-09-06 06:15:45 UTC","","","",,,"",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2f823627f0a2b8ed41d330d74caa8707","2025-09-08 14:15:58 UTC","Chrome v139, Windows","127.0.0.1","","","","","","2025-09-08 14:15:58 UTC","","","",,,"",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8f1803d03a5c5ca737ff42439d0fb215","2025-09-08 14:27:55 UTC","Chrome v139, Windows","127.0.0.1","","","","","","2025-09-08 14:27:55 UTC","","","",,,"",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d5be32700a2ededd18a4e5867a36df76","2025-09-08 14:48:03 UTC","Chrome v139, Windows","127.0.0.1","","","","","","2025-09-08 14:48:03 UTC","","","",,,"",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f617f6cf25c7490be220ae84f19bf982","2025-09-08 14:50:38 UTC","Chrome v139, Windows","127.0.0.1","2025-09-08 14:51:16 UTC","","","","","2025-09-08 14:50:38 UTC","","","",,,"",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f1fd3cb74e7a16072c560edd8b93408b","2025-09-08 14:50:57 UTC","Chrome v139, Windows","127.0.0.1","2025-09-08 14:51:17 UTC","","","","","2025-09-08 14:50:57 UTC","","","",,,"",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"948f27ea51c620776353bab6232ea469","2025-09-08 14:51:21 UTC","Chrome v139, Windows","127.0.0.1","","","","","","2025-09-08 14:51:21 UTC","","","",,,"",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b5221a19d1af4e5744e7773324dacf0d","2025-09-08 19:08:53 UTC","Chrome v139, Windows","127.0.0.1","","","","","","2025-09-08 19:08:53 UTC","","","",,,"",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dffc68f9329263fd891a11f3ad0179ce","2025-09-09 14:58:58 UTC","Chrome v139, Windows","127.0.0.1","2025-09-09 16:06:57 UTC","","","","","2025-09-09 14:58:58 UTC","","","",,,"",,,,,,,,,,,,,"day",,"2025-09-09 14:59:17 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ca82d40b2591ae8e7df30a5469e025d3","2025-09-09 15:30:13 UTC","Chrome v139, Windows","127.0.0.1","2025-09-09 16:06:57 UTC","","","","","2025-09-09 15:30:13 UTC","","","",,,"",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"581ee715f784bfdf9fbd841fdb17aa7f","2025-09-09 15:31:27 UTC","Chrome v139, Windows","127.0.0.1","2025-09-09 15:33:23 UTC","","","","","2025-09-09 15:31:27 UTC","","","",,,"",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"577a17c03ccaff3bb1f48f4067770673","2025-09-09 15:32:38 UTC","Chrome v139, Windows","127.0.0.1","2025-09-09 15:33:22 UTC","","","","","2025-09-09 15:32:38 UTC","","","",,,"",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"855061599e6c2540585fe0e8feb47999","2025-09-18 15:19:23 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 15:19:33 UTC","","","","","2025-09-18 15:19:23 UTC","","","",,,"",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04dee95bb504329db040e5d2f3c1bdc4","2025-09-18 15:29:07 UTC","Chrome v140, Windows","127.0.0.1","","","","","","2025-09-18 15:29:07 UTC","","","",,,"",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d82000deca6e9544ca4051dd9f8eac27","2025-09-18 15:46:52 UTC","Chrome v140, Windows","127.0.0.1","",,,,,"2025-09-18 15:46:52 UTC",,,,,,,,,,,,,,,,,,,"",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
